"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1095","port","cinema",5,23.127,37,2,1,9,0.225,"angel",0,NA,21.593
"1095","capital","figure",4,16.526,38,2,1,7,0.175,"figure",1,NA,4.195
"1095","anger","decay",38,14.504,39,2,1,17,0.425,"decay",1,NA,12.946
"1095","bias","sirloin",100,9.944,40,2,1,37,0.925,"sirloin",1,NA,4.006
"1095","climax","saucer",19,4.136,1,3,0,14,0.35,"",NA,NA,NA
"1095","risk","zero",1,19.869,2,3,1,1,0.025,"zero",1,NA,3.278
"1095","chicken","beet",65,6.595,3,3,1,23,0.575,"beet",1,NA,3.12
"1095","capital","figure",4,16.526,4,3,1,7,0.175,"figure",1,NA,3.267
"1095","banner","glide",39,18.381,5,3,0,18,0.45,"",NA,NA,NA
"1095","pork","emperor",100,5.134,6,3,0,34,0.85,"",NA,NA,NA
"1095","mill","feast",100,2.484,7,3,1,39,0.975,"feast",1,NA,4.545
"1095","prison","loaf",69,3.337,8,3,0,24,0.6,"",NA,NA,NA
"1095","knock","otter",82,2.598,9,3,0,28,0.7,"",NA,NA,NA
"1095","pea","bathtub",91,3.898,10,3,1,33,0.825,"bathtub",1,NA,3.909
"1095","bleach","ruin",71,12.971,11,3,1,25,0.625,"ruin",1,NA,3.45
"1095","grip","beach",100,2.372,12,3,0,40,1,"",NA,NA,NA
"1095","remind","foam",15,19.136,13,3,0,12,0.3,"",NA,NA,NA
"1095","collect","loyalty",100,4.288,14,3,0,36,0.9,"",NA,NA,NA
"1095","calf","annoy",44,13.752,15,3,0,20,0.5,"",NA,NA,NA
"1095","anger","decay",38,14.504,16,3,1,17,0.425,"decay",1,NA,3.712
"1095","find","clown",60,14.692,17,3,0,22,0.55,"",NA,NA,NA
"1095","fee","chowder",29,11.817,18,3,0,16,0.4,"",NA,NA,NA
"1095","link","crisis",81,31.785,19,3,0,26,0.65,"",NA,NA,NA
"1095","replace","roach",4,4.843,20,3,0,6,0.15,"",NA,NA,NA
"1095","want","ascent",84,3.601,21,3,0,30,0.75,"",NA,NA,NA
"1095","biology","temper",1,3.665,22,3,0,2,0.05,"",NA,NA,NA
"1095","rock","milk",82,8.517,23,3,1,29,0.725,"milk",1,NA,3.74
"1095","visit","glove",20,6.968,24,3,1,15,0.375,"love",0,NA,6.302
"1095","forest","knob",1,3.149,25,3,1,5,0.125,"shovel",0,NA,7.263
"1095","copy","bedroom",81,7.566,26,3,1,27,0.675,"bedroom",1,NA,5.61
"1095","plant","worm",100,2.826,27,3,1,35,0.875,"worm",1,NA,3.318
"1095","bullet","walkway",44,4.321,28,3,1,19,0.475,"walkway",1,NA,3.549
"1095","bias","sirloin",100,9.944,29,3,1,37,0.925,"sirloin",1,NA,3.732
"1095","smother","surgery",1,4.443,30,3,1,3,0.075,"pillow",0,NA,4.256
"1095","need","faucet",85,6.842,31,3,0,32,0.8,"",NA,NA,NA
"1095","process","joker",13,2.959,32,3,1,11,0.275,"pardon",0,NA,8.499
"1095","shrink","mafia",5,27.36,33,3,0,8,0.2,"",NA,NA,NA
"1095","glue","force",7,2.82,34,3,0,10,0.25,"",NA,NA,NA
"1095","date","laugh",56,15.615,35,3,1,21,0.525,"laugh",1,NA,4.192
"1095","nerve","bumper",1,38.89,36,3,0,4,0.1,"",NA,NA,NA
"1095","fan","feature",18,18.034,37,3,1,13,0.325,"feature",1,NA,5.837
"1095","caring","skirt",85,4.021,38,3,1,31,0.775,"skirt",1,NA,3.591
"1095","bacon","feud",100,2.649,39,3,0,38,0.95,"",NA,NA,NA
"1095","port","cinema",5,23.127,40,3,1,9,0.225,"skip",0,NA,13.358
"1099","calf","annoy",68,1.676,1,1,0,36,0.9,"",NA,NA,NA
"1099","knock","otter",81,2.413,2,1,1,39,0.975,"smack",0,NA,5.211
"1099","nerve","bumper",28,1.452,3,1,0,10,0.25,"",NA,NA,NA
"1099","bacon","feud",40,1.803,4,1,0,18,0.45,"",NA,NA,NA
"1099","glue","force",65,1.955,5,1,0,30,0.75,"",NA,NA,NA
"1099","bias","sirloin",22,1.587,6,1,1,5,0.125,"information",0,NA,4.786
"1099","pea","bathtub",21,1.651,7,1,0,4,0.1,"",NA,NA,NA
"1099","banner","glide",28,2.931,8,1,0,8,0.2,"",NA,NA,NA
