"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1256","calf","annoy",12,1.434,1,1,1,22,0.55,"force",0,NA,9.479
"1256","glue","force",1,1.137,2,1,1,18,0.45,"Emperor",0,NA,6.12
"1256","fee","chowder",46,1.487,3,1,1,32,0.8,"ascent",0,NA,5.799
"1256","bacon","feud",1,10.083,4,1,0,9,0.225,"",NA,NA,NA
"1256","find","clown",1,5.882,5,1,0,1,0.025,"",NA,NA,NA
"1256","forest","knob",47,9.712,6,1,0,33,0.825,"",NA,NA,NA
"1256","banner","glide",1,2.138,7,1,0,21,0.525,"",NA,NA,NA
"1256","plant","worm",100,1.563,8,1,0,39,0.975,"",NA,NA,NA
"1256","risk","zero",100,1.712,9,1,1,38,0.95,"zero",1,NA,3.48
"1256","prison","loaf",1,1.354,10,1,1,6,0.15,"loaf",1,NA,6.894
"1256","collect","loyalty",1,1.22,11,1,1,16,0.4,"loyalty",1,NA,7.789
"1256","shrink","mafia",1,1.68,12,1,0,13,0.325,"",NA,NA,NA
"1256","copy","bedroom",1,1.102,13,1,1,4,0.1,"joker",0,NA,13.683
"1256","mill","feast",64,2.129,14,1,0,35,0.875,"",NA,NA,NA
"1256","smother","surgery",1,1.015,15,1,0,17,0.425,"",NA,NA,NA
"1256","pork","emperor",24,1.237,16,1,0,25,0.625,"",NA,NA,NA
"1256","bias","sirloin",1,0.926,17,1,0,15,0.375,"",NA,NA,NA
"1256","nerve","bumper",1,0.891,18,1,1,10,0.25,"bathtub",0,NA,11.044
"1256","bleach","ruin",37,1.612,19,1,1,30,0.75,"ruin",1,NA,7.863
"1256","date","laugh",19,1.449,20,1,0,23,0.575,"",NA,NA,NA
"1256","climax","saucer",25,5.053,21,1,1,26,0.65,"laugh",0,NA,8.483
"1256","fan","feature",67,2.317,22,1,0,37,0.925,"",NA,NA,NA
"1256","port","cinema",57,3.253,23,1,1,34,0.85,"cinema",1,NA,11.383
"1256","replace","roach",30,8.004,24,1,1,28,0.7,"milk",0,NA,7.768
"1256","visit","glove",1,1.381,25,1,0,3,0.075,"",NA,NA,NA
"1256","pea","bathtub",1,1.089,26,1,1,8,0.2,"bathtub",1,NA,8.335
"1256","remind","foam",1,1.241,27,1,0,5,0.125,"",NA,NA,NA
"1256","capital","figure",66,3.144,28,1,1,36,0.9,"sirloin",0,NA,5.7
"1256","need","faucet",26,1.693,29,1,0,27,0.675,"",NA,NA,NA
"1256","grip","beach",1,1.883,30,1,0,19,0.475,"",NA,NA,NA
"1256","biology","temper",36,2.202,31,1,0,29,0.725,"",NA,NA,NA
"1256","rock","milk",37,2.575,32,1,0,31,0.775,"",NA,NA,NA
"1256","anger","decay",1,2.705,33,1,0,7,0.175,"",NA,NA,NA
"1256","link","crisis",1,1.015,34,1,0,11,0.275,"",NA,NA,NA
"1256","want","ascent",1,9.633,35,1,1,2,0.05,"chowder",0,NA,7.874
"1256","chicken","beet",100,1.507,36,1,1,40,1,"beet ",0,NA,2.775
"1256","process","joker",1,1.383,37,1,1,14,0.35,"walkway",0,NA,7.558
"1256","caring","skirt",1,1.285,38,1,1,20,0.5,"mafia",0,NA,7.952
"1256","bullet","walkway",1,1.387,39,1,1,12,0.3,"feud",0,NA,5.44
"1256","knock","otter",23,1.552,40,1,1,24,0.6,"ascent",0,NA,5.079
"1256","process","joker",1,1.383,1,2,1,14,0.35,"walkway",0,NA,5.96
"1256","port","cinema",57,3.253,2,2,1,34,0.85,"cinema",1,NA,6.094
"1256","pork","emperor",24,1.237,3,2,0,25,0.625,"",NA,NA,NA
"1256","fan","feature",67,2.317,4,2,0,37,0.925,"",NA,NA,NA
"1256","smother","surgery",1,1.015,5,2,0,17,0.425,"",NA,NA,NA
"1256","copy","bedroom",1,1.102,6,2,1,4,0.1,"joker",0,NA,8.521
"1256","banner","glide",1,2.138,7,2,0,21,0.525,"",NA,NA,NA
"1256","find","clown",1,5.882,8,2,0,1,0.025,"",NA,NA,NA
"1256","knock","otter",23,1.552,9,2,1,24,0.6,"ascent",0,NA,6.207
"1256","chicken","beet",100,1.507,10,2,1,40,1,"beet",1,NA,2.511
"1256","grip","beach",1,1.883,11,2,0,19,0.475,"",NA,NA,NA
"1256","want","ascent",1,9.633,12,2,1,2,0.05,"chowder",0,NA,6.085
"1256","calf","annoy",12,1.434,13,2,1,22,0.55,"annoy",1,NA,7.815
"1256","glue","force",1,1.137,14,2,1,18,0.45,"surgery",0,NA,5.983
"1256","bacon","feud",1,10.083,15,2,0,9,0.225,"",NA,NA,NA
"1256","mill","feast",64,2.129,16,2,0,35,0.875,"",NA,NA,NA
"1256","link","crisis",1,1.015,17,2,0,11,0.275,"",NA,NA,NA
"1256","anger","decay",1,2.705,18,2,0,7,0.175,"",NA,NA,NA
"1256","prison","loaf",1,1.354,19,2,1,6,0.15,"loaf",1,NA,5.51
"1256","remind","foam",1,1.241,20,2,0,5,0.125,"",NA,NA,NA
"1256","pea","bathtub",1,1.089,21,2,1,8,0.2,"bathtub",1,NA,7.374
"1256","climax","saucer",25,5.053,22,2,1,26,0.65,"saucer",1,NA,6.799
"1256","biology","temper",36,2.202,23,2,0,29,0.725,"",NA,NA,NA
"1256","bleach","ruin",37,1.612,24,2,1,30,0.75,"ruin",1,NA,8.516
"1256","collect","loyalty",1,1.22,25,2,1,16,0.4,"loyalty",1,NA,6.655
"1256","plant","worm",100,1.563,26,2,0,39,0.975,"",NA,NA,NA
"1256","risk","zero",100,1.712,27,2,1,38,0.95,"zero",1,NA,2.436
"1256","shrink","mafia",1,1.68,28,2,0,13,0.325,"",NA,NA,NA
"1256","replace","roach",30,8.004,29,2,1,28,0.7,"roach",1,NA,8.198
"1256","nerve","bumper",1,0.891,30,2,1,10,0.25,"feature",0,NA,7.333
"1256","fee","chowder",46,1.487,31,2,1,32,0.8,"annoy",0,NA,7.064
"1256","visit","glove",1,1.381,32,2,0,3,0.075,"",NA,NA,NA
"1256","bias","sirloin",1,0.926,33,2,0,15,0.375,"",NA,NA,NA
"1256","bullet","walkway",1,1.387,34,2,1,12,0.3,"feast",0,NA,10.13
"1256","date","laugh",19,1.449,35,2,0,23,0.575,"",NA,NA,NA
"1256","capital","figure",66,3.144,36,2,1,36,0.9,"mafia",0,NA,12.021
"1256","rock","milk",37,2.575,37,2,0,31,0.775,"",NA,NA,NA
"1256","caring","skirt",1,1.285,38,2,1,20,0.5,"temper",0,NA,7.884
"1256","forest","knob",47,9.712,39,2,0,33,0.825,"",NA,NA,NA
"1256","need","faucet",26,1.693,40,2,0,27,0.675,"",NA,NA,NA
"1256","replace","roach",30,8.004,1,3,1,28,0.7,"crisis",0,NA,6.151
"1256","find","clown",1,5.882,2,3,0,1,0.025,"",NA,NA,NA
"1256","prison","loaf",1,1.354,3,3,1,6,0.15,"loaf",1,NA,4.766
"1256","capital","figure",66,3.144,4,3,1,36,0.9,"mafia",0,NA,5.536
"1256","caring","skirt",1,1.285,5,3,1,20,0.5,"temper",0,NA,3.879
"1256","grip","beach",1,1.883,6,3,0,19,0.475,"",NA,NA,NA
"1256","smother","surgery",1,1.015,7,3,0,17,0.425,"",NA,NA,NA
"1256","link","crisis",1,1.015,8,3,0,11,0.275,"",NA,NA,NA
"1256","glue","force",1,1.137,9,3,1,18,0.45,"emperor",0,NA,8.255
"1256","pea","bathtub",1,1.089,10,3,1,8,0.2,"feature",0,NA,6.431
"1256","forest","knob",47,9.712,11,3,0,33,0.825,"",NA,NA,NA
"1256","plant","worm",100,1.563,12,3,0,39,0.975,"",NA,NA,NA
"1256","fan","feature",67,2.317,13,3,0,37,0.925,"",NA,NA,NA
"1256","copy","bedroom",1,1.102,14,3,1,4,0.1,"joker",0,NA,6.563
"1256","biology","temper",36,2.202,15,3,0,29,0.725,"",NA,NA,NA
"1256","fee","chowder",46,1.487,16,3,1,32,0.8,"chowder",1,NA,5.27
"1256","chicken","beet",100,1.507,17,3,1,40,1,"beet",1,NA,2.68
"1256","want","ascent",1,9.633,18,3,1,2,0.05,"ascent",1,NA,4.224
"1256","anger","decay",1,2.705,19,3,0,7,0.175,"",NA,NA,NA
"1256","bullet","walkway",1,1.387,20,3,1,12,0.3,"feast",0,NA,9.453
"1256","port","cinema",57,3.253,21,3,1,34,0.85,"cinema",1,NA,4.984
"1256","banner","glide",1,2.138,22,3,0,21,0.525,"",NA,NA,NA
"1256","need","faucet",26,1.693,23,3,0,27,0.675,"",NA,NA,NA
"1256","bias","sirloin",1,0.926,24,3,0,15,0.375,"",NA,NA,NA
"1256","knock","otter",23,1.552,25,3,1,24,0.6,"faucet",0,NA,6.609
"1256","date","laugh",19,1.449,26,3,0,23,0.575,"",NA,NA,NA
"1256","bleach","ruin",37,1.612,27,3,1,30,0.75,"ruin",1,NA,10.121
"1256","climax","saucer",25,5.053,28,3,1,26,0.65,"laugh",0,NA,5.045
"1256","collect","loyalty",1,1.22,29,3,1,16,0.4,"loyalty",1,NA,4.847
"1256","pork","emperor",24,1.237,30,3,0,25,0.625,"",NA,NA,NA
"1256","process","joker",1,1.383,31,3,1,14,0.35,"walkway",0,NA,8.39
"1256","visit","glove",1,1.381,32,3,0,3,0.075,"",NA,NA,NA
"1256","calf","annoy",12,1.434,33,3,1,22,0.55,"annoy",1,NA,6.143
"1256","mill","feast",64,2.129,34,3,0,35,0.875,"",NA,NA,NA
"1256","rock","milk",37,2.575,35,3,0,31,0.775,"",NA,NA,NA
"1256","remind","foam",1,1.241,36,3,0,5,0.125,"",NA,NA,NA
"1256","risk","zero",100,1.712,37,3,1,38,0.95,"zero",1,NA,2.513
"1256","nerve","bumper",1,0.891,38,3,1,10,0.25,"bathtub",0,NA,6.295
"1256","shrink","mafia",1,1.68,39,3,0,13,0.325,"",NA,NA,NA
"1256","bacon","feud",1,10.083,40,3,0,9,0.225,"",NA,NA,NA
"1277","find","clown",1,2.678,1,1,1,5,0.125,"SKIP",0,NA,7.867
"1277","grip","beach",5,5.398,2,1,1,13,0.325,"SKIP",0,NA,4.845
"1277","bullet","walkway",65,2.647,3,1,0,32,0.8,"",NA,NA,NA
"1277","visit","glove",1,3.574,4,1,0,2,0.05,"",NA,NA,NA
"1277","pork","emperor",5,3.414,5,1,0,12,0.3,"",NA,NA,NA
"1277","replace","roach",1,2.701,6,1,0,4,0.1,"",NA,NA,NA
"1277","plant","worm",64,3.277,7,1,1,31,0.775,"worm",1,NA,4.195
"1277","calf","annoy",35,3.221,8,1,1,19,0.475,"annoy",1,NA,3.797
"1277","capital","figure",38,4.709,9,1,0,20,0.5,"",NA,NA,NA
"1277","banner","glide",63,2.27,10,1,0,30,0.75,"",NA,NA,NA
"1277","smother","surgery",57,2.502,11,1,1,25,0.625,"surgery",1,NA,4.793
"1277","date","laugh",59,4.71,12,1,1,29,0.725,"laugh",1,NA,3.998
"1277","fee","chowder",1,2.78,13,1,1,3,0.075,"SKIP",0,NA,5.759
"1277","caring","skirt",4,8.865,14,1,1,11,0.275,"SKIP",0,NA,4.719
"1277","port","cinema",58,5.381,15,1,0,28,0.7,"",NA,NA,NA
"1277","bleach","ruin",96,3.189,16,1,0,40,1,"",NA,NA,NA
"1277","need","faucet",19,11.55,17,1,0,16,0.4,"",NA,NA,NA
"1277","nerve","bumper",41,5.798,18,1,1,21,0.525,"bumper",1,NA,3.874
"1277","knock","otter",27,7.281,19,1,1,17,0.425,"SKIP",0,NA,5.638
"1277","pea","bathtub",87,3.644,20,1,1,39,0.975,"bathtub",1,NA,4.549
"1277","forest","knob",1,3.39,21,1,1,7,0.175,"SKIP",0,NA,12.093
"1277","mill","feast",19,4.684,22,1,1,15,0.375,"SKIP",0,NA,4.543
"1277","copy","bedroom",58,3.848,23,1,1,27,0.675,"bedroom",1,NA,6.768
"1277","risk","zero",66,6.053,24,1,1,33,0.825,"zero",1,NA,5.036
"1277","link","crisis",6,4.35,25,1,0,14,0.35,"",NA,NA,NA
"1277","bacon","feud",84,2.903,26,1,0,38,0.95,"",NA,NA,NA
"1277","chicken","beet",73,2.566,27,1,0,36,0.9,"",NA,NA,NA
"1277","collect","loyalty",55,3.669,28,1,1,23,0.575,"loyalty",1,NA,8.681
"1277","prison","loaf",1,2.447,29,1,1,9,0.225,"SKIP",0,NA,4.869
"1277","anger","decay",3,4.557,30,1,0,10,0.25,"",NA,NA,NA
"1277","remind","foam",1,2.054,31,1,0,6,0.15,"",NA,NA,NA
"1277","fan","feature",45,4.141,32,1,0,22,0.55,"",NA,NA,NA
"1277","process","joker",1,7.07,33,1,1,1,0.025,"SKIP",0,NA,5.465
"1277","climax","saucer",57,3.557,34,1,0,26,0.65,"",NA,NA,NA
"1277","want","ascent",1,2.31,35,1,0,8,0.2,"",NA,NA,NA
"1277","rock","milk",83,2.853,36,1,1,37,0.925,"milk",1,NA,4.443
"1277","bias","sirloin",66,2.356,37,1,0,34,0.85,"",NA,NA,NA
"1277","biology","temper",34,6.237,38,1,0,18,0.45,"",NA,NA,NA
"1277","shrink","mafia",57,4.301,39,1,0,24,0.6,"",NA,NA,NA
"1277","glue","force",71,2.59,40,1,1,35,0.875,"force",1,NA,4.38
"1277","nerve","bumper",41,5.798,1,2,1,21,0.525,"bumper",1,NA,6.489
"1277","biology","temper",34,6.237,2,2,0,18,0.45,"",NA,NA,NA
"1277","plant","worm",64,3.277,3,2,1,31,0.775,"worm",1,NA,4.31
"1277","caring","skirt",4,8.865,4,2,1,11,0.275,"SKIP",0,NA,5.263
"1277","capital","figure",38,4.709,5,2,0,20,0.5,"",NA,NA,NA
"1277","copy","bedroom",58,3.848,6,2,1,27,0.675,"bedroom",1,NA,4.317
"1277","bacon","feud",84,2.903,7,2,0,38,0.95,"",NA,NA,NA
"1277","collect","loyalty",55,3.669,8,2,1,23,0.575,"loyalty",1,NA,6.045
"1277","bias","sirloin",66,2.356,9,2,0,34,0.85,"",NA,NA,NA
"1277","want","ascent",1,2.31,10,2,0,8,0.2,"",NA,NA,NA
"1277","process","joker",1,7.07,11,2,1,1,0.025,"SKIP",0,NA,4.997
"1277","knock","otter",27,7.281,12,2,1,17,0.425,"SKIP",0,NA,5.293
"1277","pork","emperor",5,3.414,13,2,0,12,0.3,"",NA,NA,NA
"1277","forest","knob",1,3.39,14,2,1,7,0.175,"SKIP",0,NA,5.669
"1277","fan","feature",45,4.141,15,2,0,22,0.55,"",NA,NA,NA
"1277","remind","foam",1,2.054,16,2,0,6,0.15,"",NA,NA,NA
"1277","fee","chowder",1,2.78,17,2,1,3,0.075,"SKIP",0,NA,6.171
"1277","bleach","ruin",96,3.189,18,2,0,40,1,"",NA,NA,NA
"1277","climax","saucer",57,3.557,19,2,0,26,0.65,"",NA,NA,NA
"1277","risk","zero",66,6.053,20,2,1,33,0.825,"zero",1,NA,3.964
"1277","replace","roach",1,2.701,21,2,0,4,0.1,"",NA,NA,NA
"1277","mill","feast",19,4.684,22,2,1,15,0.375,"SKIP",0,NA,7.572
"1277","visit","glove",1,3.574,23,2,0,2,0.05,"",NA,NA,NA
"1277","prison","loaf",1,2.447,24,2,1,9,0.225,"SKIP",0,NA,6.23
"1277","date","laugh",59,4.71,25,2,1,29,0.725,"laugh",1,NA,4.075
"1277","rock","milk",83,2.853,26,2,1,37,0.925,"milk",1,NA,4.015
"1277","shrink","mafia",57,4.301,27,2,0,24,0.6,"",NA,NA,NA
"1277","glue","force",71,2.59,28,2,1,35,0.875,"force",1,NA,3.668
"1277","bullet","walkway",65,2.647,29,2,0,32,0.8,"",NA,NA,NA
"1277","link","crisis",6,4.35,30,2,0,14,0.35,"",NA,NA,NA
"1277","anger","decay",3,4.557,31,2,0,10,0.25,"",NA,NA,NA
"1277","pea","bathtub",87,3.644,32,2,1,39,0.975,"bathtub",1,NA,5.451
"1277","calf","annoy",35,3.221,33,2,1,19,0.475,"annoy",1,NA,4.575
"1277","grip","beach",5,5.398,34,2,1,13,0.325,"SKIP",0,NA,4.966
"1277","chicken","beet",73,2.566,35,2,0,36,0.9,"",NA,NA,NA
"1277","find","clown",1,2.678,36,2,1,5,0.125,"SKIP",0,NA,4.653
"1277","need","faucet",19,11.55,37,2,0,16,0.4,"",NA,NA,NA
"1277","port","cinema",58,5.381,38,2,0,28,0.7,"",NA,NA,NA
"1277","smother","surgery",57,2.502,39,2,1,25,0.625,"surgery",1,NA,5.573
"1277","banner","glide",63,2.27,40,2,0,30,0.75,"",NA,NA,NA
"1277","rock","milk",83,2.853,1,3,1,37,0.925,"milk",1,NA,4.186
"1277","replace","roach",1,2.701,2,3,0,4,0.1,"",NA,NA,NA
"1277","bleach","ruin",96,3.189,3,3,0,40,1,"",NA,NA,NA
"1277","collect","loyalty",55,3.669,4,3,1,23,0.575,"loyalty",1,NA,5.667
"1277","forest","knob",1,3.39,5,3,1,7,0.175,"SKIP",0,NA,4.831
"1277","visit","glove",1,3.574,6,3,0,2,0.05,"",NA,NA,NA
"1277","bias","sirloin",66,2.356,7,3,0,34,0.85,"",NA,NA,NA
"1277","prison","loaf",1,2.447,8,3,1,9,0.225,"SKIP",0,NA,4.995
"1277","plant","worm",64,3.277,9,3,1,31,0.775,"worm",1,NA,3.478
"1277","remind","foam",1,2.054,10,3,0,6,0.15,"",NA,NA,NA
"1277","climax","saucer",57,3.557,11,3,0,26,0.65,"",NA,NA,NA
"1277","mill","feast",19,4.684,12,3,1,15,0.375,"SKIP",0,NA,4.645
"1277","fan","feature",45,4.141,13,3,0,22,0.55,"",NA,NA,NA
"1277","bullet","walkway",65,2.647,14,3,0,32,0.8,"",NA,NA,NA
"1277","shrink","mafia",57,4.301,15,3,0,24,0.6,"",NA,NA,NA
"1277","nerve","bumper",41,5.798,16,3,1,21,0.525,"bumper",1,NA,3.891
"1277","smother","surgery",57,2.502,17,3,1,25,0.625,"surgery",1,NA,7.103
"1277","biology","temper",34,6.237,18,3,0,18,0.45,"",NA,NA,NA
"1277","need","faucet",19,11.55,19,3,0,16,0.4,"",NA,NA,NA
"1277","find","clown",1,2.678,20,3,1,5,0.125,"SKIP",0,NA,5.101
"1277","knock","otter",27,7.281,21,3,1,17,0.425,"SKIP",0,NA,4.543
"1277","calf","annoy",35,3.221,22,3,1,19,0.475,"annoy",1,NA,4.691
"1277","bacon","feud",84,2.903,23,3,0,38,0.95,"",NA,NA,NA
"1277","grip","beach",5,5.398,24,3,1,13,0.325,"SKIP",0,NA,5.269
"1277","process","joker",1,7.07,25,3,1,1,0.025,"SKIP",0,NA,4.63
"1277","capital","figure",38,4.709,26,3,0,20,0.5,"",NA,NA,NA
"1277","banner","glide",63,2.27,27,3,0,30,0.75,"",NA,NA,NA
"1277","port","cinema",58,5.381,28,3,0,28,0.7,"",NA,NA,NA
"1277","date","laugh",59,4.71,29,3,1,29,0.725,"laugh",1,NA,4.043
"1277","pork","emperor",5,3.414,30,3,0,12,0.3,"",NA,NA,NA
"1277","risk","zero",66,6.053,31,3,1,33,0.825,"link",0,NA,14.637
"1277","pea","bathtub",87,3.644,32,3,1,39,0.975,"bathtub",1,NA,4.815
"1277","want","ascent",1,2.31,33,3,0,8,0.2,"",NA,NA,NA
"1277","fee","chowder",1,2.78,34,3,1,3,0.075,"SKIP",0,NA,4.629
"1277","caring","skirt",4,8.865,35,3,1,11,0.275,"SKIP",0,NA,5.91
"1277","link","crisis",6,4.35,36,3,0,14,0.35,"",NA,NA,NA
"1277","glue","force",71,2.59,37,3,1,35,0.875,"force",1,NA,7.469
"1277","chicken","beet",73,2.566,38,3,0,36,0.9,"",NA,NA,NA
"1277","copy","bedroom",58,3.848,39,3,1,27,0.675,"bedroom",1,NA,6.515
"1277","anger","decay",3,4.557,40,3,0,10,0.25,"",NA,NA,NA
"1332","plant","worm",92,2.276,1,1,1,38,0.95,"worm",1,NA,3.473
"1332","link","crisis",90,2.828,2,1,1,32,0.8,"crisis",1,NA,3.188
"1332","caring","skirt",32,8.446,3,1,1,10,0.25,"SKIP",0,NA,5.392
"1332","pork","emperor",93,2.324,4,1,0,39,0.975,"",NA,NA,NA
"1332","calf","annoy",61,2.505,5,1,1,14,0.35,"annoy",1,NA,2.309
"1332","anger","decay",11,5.292,6,1,0,5,0.125,"",NA,NA,NA
"1332","capital","figure",15,3.461,7,1,1,8,0.2,"gain",0,NA,9.797
"1332","shrink","mafia",38,3.853,8,1,1,12,0.3,"decay",0,NA,2.752
