word1,word2,jol,jolrt,jolrtfirst,trial,list,
rock,milk,-99,-99,-99,1,1,
shrink,mafia,-99,-99,-99,2,1,
remind,foam,-99,-99,-99,3,1,
visit,glove,-99,-99,-99,4,1,
pea,bathtub,-99,-99,-99,5,1,
anger,decay,-99,-99,-99,6,1,
prison,loaf,-99,-99,-99,7,1,
process,joker,-99,-99,-99,8,1,
pork,emperor,-99,-99,-99,9,1,
plant,worm,-99,-99,-99,10,1,
fee,chowder,-99,-99,-99,11,1,
nerve,bumper,-99,-99,-99,12,1,
find,clown,-99,-99,-99,13,1,
biology,temper,-99,-99,-99,14,1,
glue,force,-99,-99,-99,15,1,
grip,beach,-99,-99,-99,16,1,
bias,sirloin,-99,-99,-99,17,1,
fan,feature,-99,-99,-99,18,1,
mill,feast,-99,-99,-99,19,1,
risk,zero,-99,-99,-99,20,1,
bacon,feud,-99,-99,-99,21,1,
copy,bedroom,-99,-99,-99,22,1,
forest,knob,-99,-99,-99,23,1,
banner,glide,-99,-99,-99,24,1,
bullet,walkway,-99,-99,-99,25,1,
calf,annoy,-99,-99,-99,26,1,
collect,loyalty,-99,-99,-99,27,1,
smother,surgery,-99,-99,-99,28,1,
need,faucet,-99,-99,-99,29,1,
port,cinema,-99,-99,-99,30,1,
replace,roach,-99,-99,-99,31,1,
climax,saucer,-99,-99,-99,32,1,
knock,otter,-99,-99,-99,33,1,
link,crisis,-99,-99,-99,34,1,
chicken,beet,-99,-99,-99,35,1,
bleach,ruin,-99,-99,-99,36,1,
capital,figure,-99,-99,-99,37,1,
date,laugh,-99,-99,-99,38,1,
want,ascent,-99,-99,-99,39,1,
caring,skirt,-99,-99,-99,40,1,
bleach,ruin,90,16.483,8.043,1,2,
bacon,feud,25,8.159,3.911,2,2,
plant,worm,60,10.078,3.615,3,2,
smother,surgery,45,9.2,5.143,4,2,
caring,skirt,15,5.263,2.239,5,2,
fan,feature,20,8.032,3.6,6,2,
process,joker,10,5.647,2.934,7,2,
mill,feast,20,7.647,2.736,8,2,
link,crisis,1,5.126,3.335,9,2,
port,cinema,60,10.392,3.567,10,2,
copy,bedroom,33,6.327,3.496,11,2,
anger,decay,11,5.503,1.94,12,2,
grip,beach,1,4.415,2.263,13,2,
knock,otter,16,4.375,2.248,14,2,
remind,foam,20,4.064,2.11,15,2,
rock,milk,45,4.711,2.935,16,2,
capital,figure,56,9.847,5.559,17,2,
climax,saucer,35,6.327,4.599,18,2,
nerve,bumper,19,3.232,1.544,19,2,
shrink,mafia,20,4.311,2.552,20,2,
need,faucet,35,5.456,3.687,21,2,
visit,glove,16,6.247,2.519,22,2,
date,laugh,60,9.199,6.551,23,2,
replace,roach,20,6.455,3.482,24,2,
pea,bathtub,65,7.415,2.824,25,2,
prison,loaf,20,5.775,1.934,26,2,
calf,annoy,39,8.191,4.536,27,2,
risk,zero,40,9.446,7.055,28,2,
forest,knob,29,8.487,3.727,29,2,
collect,loyalty,25,6.983,3.728,30,2,
pork,emperor,15,3.655,2.064,31,2,
glue,force,35,5.39,3.752,32,2,
chicken,beet,25,6.518,3.295,33,2,
biology,temper,65,9.568,4.759,34,2,
find,clown,11,5.447,1.718,35,2,
bias,sirloin,14,3.998,1.741,36,2,
want,ascent,13,5.407,2.055,37,2,
banner,glide,23,4.655,2.48,38,2,
bullet,walkway,22,4.215,2.327,39,2,
fee,chowder,10,6.064,4.351,40,2,

