word1,word2,jol,jolrt,jolrtfirst,trial,list,
pea,bathtub,-99,-99,-99,1,1,
find,clown,-99,-99,-99,2,1,
remind,foam,-99,-99,-99,3,1,
want,ascent,-99,-99,-99,4,1,
mill,feast,-99,-99,-99,5,1,
forest,knob,-99,-99,-99,6,1,
capital,figure,-99,-99,-99,7,1,
anger,decay,-99,-99,-99,8,1,
bacon,feud,-99,-99,-99,9,1,
risk,zero,-99,-99,-99,10,1,
process,joker,-99,-99,-99,11,1,
caring,skirt,-99,-99,-99,12,1,
need,faucet,-99,-99,-99,13,1,
port,cinema,-99,-99,-99,14,1,
bullet,walkway,-99,-99,-99,15,1,
plant,worm,-99,-99,-99,16,1,
grip,beach,-99,-99,-99,17,1,
replace,roach,-99,-99,-99,18,1,
knock,otter,-99,-99,-99,19,1,
date,laugh,-99,-99,-99,20,1,
fee,chowder,-99,-99,-99,21,1,
prison,loaf,-99,-99,-99,22,1,
bleach,ruin,-99,-99,-99,23,1,
link,crisis,-99,-99,-99,24,1,
climax,saucer,-99,-99,-99,25,1,
glue,force,-99,-99,-99,26,1,
bias,sirloin,-99,-99,-99,27,1,
shrink,mafia,-99,-99,-99,28,1,
smother,surgery,-99,-99,-99,29,1,
chicken,beet,-99,-99,-99,30,1,
calf,annoy,-99,-99,-99,31,1,
fan,feature,-99,-99,-99,32,1,
pork,emperor,-99,-99,-99,33,1,
rock,milk,-99,-99,-99,34,1,
copy,bedroom,-99,-99,-99,35,1,
biology,temper,-99,-99,-99,36,1,
collect,loyalty,-99,-99,-99,37,1,
nerve,bumper,-99,-99,-99,38,1,
banner,glide,-99,-99,-99,39,1,
visit,glove,-99,-99,-99,40,1,
port,cinema,63,2.915,1.944,1,2,
capital,figure,73,1.651,0.823,2,2,
prison,loaf,69,1.516,0.689,3,2,
copy,bedroom,34,1.444,0.781,4,2,
remind,foam,37,1.877,1.089,5,2,
fan,feature,65,1.429,0.701,6,2,
link,crisis,35,1.537,0.811,7,2,
forest,knob,21,1.776,1.189,8,2,
process,joker,8,1.259,0.727,9,2,
visit,glove,79,1.194,0.7,10,2,
banner,glide,62,1.512,0.589,11,2,
risk,zero,32,1.011,0.387,12,2,
nerve,bumper,70,1.07,0.633,13,2,
anger,decay,20,1.261,0.8,14,2,
grip,beach,78,0.992,0.549,15,2,
mill,feast,64,1.356,0.887,16,2,
bleach,ruin,17,1.412,0.972,17,2,
bullet,walkway,64,1.114,0.618,18,2,
chicken,beet,72,1.322,0.567,19,2,
plant,worm,16,1.57,0.945,20,2,
replace,roach,19,1.256,0.67,21,2,
caring,skirt,25,0.954,0.393,22,2,
shrink,mafia,22,1.144,0.719,23,2,
knock,otter,60,0.943,0.43,24,2,
want,ascent,81,1.093,0.615,25,2,
pork,emperor,19,1.867,0.989,26,2,
pea,bathtub,73,1.856,0.422,27,2,
biology,temper,42,1.621,1.116,28,2,
bacon,feud,63,1.435,0.648,29,2,
glue,force,61,1.311,0.653,30,2,
calf,annoy,28,1.151,0.733,31,2,
climax,saucer,88,1.455,0.846,32,2,
need,faucet,30,1.152,0.697,33,2,
date,laugh,64,1.03,0.602,34,2,
fee,chowder,31,0.958,0.512,35,2,
collect,loyalty,69,1.291,0.445,36,2,
find,clown,81,0.828,0.443,37,2,
bias,sirloin,99,2.199,1.311,38,2,
smother,surgery,78,2.395,1.115,39,2,
rock,milk,38,1.207,0.593,40,2,

