word1,word2,jol,jolrt,jolrtfirst,trial,list,
bacon,feud,-99,-99,-99,1,1,
shrink,mafia,-99,-99,-99,2,1,
fee,chowder,-99,-99,-99,3,1,
climax,saucer,-99,-99,-99,4,1,
capital,figure,-99,-99,-99,5,1,
pea,bathtub,-99,-99,-99,6,1,
calf,annoy,-99,-99,-99,7,1,
forest,knob,-99,-99,-99,8,1,
need,faucet,-99,-99,-99,9,1,
anger,decay,-99,-99,-99,10,1,
process,joker,-99,-99,-99,11,1,
rock,milk,-99,-99,-99,12,1,
chicken,beet,-99,-99,-99,13,1,
pork,emperor,-99,-99,-99,14,1,
nerve,bumper,-99,-99,-99,15,1,
smother,surgery,-99,-99,-99,16,1,
bleach,ruin,-99,-99,-99,17,1,
remind,foam,-99,-99,-99,18,1,
risk,zero,-99,-99,-99,19,1,
replace,roach,-99,-99,-99,20,1,
find,clown,-99,-99,-99,21,1,
glue,force,-99,-99,-99,22,1,
visit,glove,-99,-99,-99,23,1,
plant,worm,-99,-99,-99,24,1,
prison,loaf,-99,-99,-99,25,1,
bullet,walkway,-99,-99,-99,26,1,
port,cinema,-99,-99,-99,27,1,
link,crisis,-99,-99,-99,28,1,
banner,glide,-99,-99,-99,29,1,
bias,sirloin,-99,-99,-99,30,1,
date,laugh,-99,-99,-99,31,1,
grip,beach,-99,-99,-99,32,1,
want,ascent,-99,-99,-99,33,1,
mill,feast,-99,-99,-99,34,1,
fan,feature,-99,-99,-99,35,1,
biology,temper,-99,-99,-99,36,1,
knock,otter,-99,-99,-99,37,1,
caring,skirt,-99,-99,-99,38,1,
copy,bedroom,-99,-99,-99,39,1,
collect,loyalty,-99,-99,-99,40,1,
fee,chowder,91,3.808,2.238,1,2,
anger,decay,29,3.637,2.371,2,2,
collect,loyalty,72,3.205,1.832,3,2,
remind,foam,67,3.639,2.313,4,2,
bleach,ruin,36,3.439,2.257,5,2,
risk,zero,68,3.177,1.726,6,2,
port,cinema,100,3.078,1.796,7,2,
find,clown,98,2.884,1.499,8,2,
calf,annoy,78,2.742,1.669,9,2,
date,laugh,62,2.235,1.276,10,2,
smother,surgery,18,3.001,1.863,11,2,
knock,otter,17,5.139,3.721,12,2,
shrink,mafia,84,2.889,1.438,13,2,
replace,roach,76,3.002,1.498,14,2,
biology,temper,19,4.269,2.712,15,2,
pea,bathtub,79,3.63,2.255,16,2,
bullet,walkway,21,5.542,4.332,17,2,
prison,loaf,80,2.73,1.423,18,2,
process,joker,82,3.167,1.558,19,2,
bias,sirloin,24,3.365,1.824,20,2,
caring,skirt,82,2.744,1.562,21,2,
copy,bedroom,90,3.394,1.946,22,2,
banner,glide,71,3.068,1.788,23,2,
glue,force,92,3.688,2.281,24,2,
capital,figure,18,3.556,2.077,25,2,
climax,saucer,89,2.83,1.456,26,2,
bacon,feud,86,2.419,1.225,27,2,
fan,feature,81,3.719,1.94,28,2,
plant,worm,27,5.285,3.792,29,2,
mill,feast,84,3,1.785,30,2,
visit,glove,76,2.938,1.382,31,2,
link,crisis,23,2.579,1.243,32,2,
nerve,bumper,88,2.719,1.423,33,2,
grip,beach,92,2.694,1.548,34,2,
rock,milk,25,3.507,1.721,35,2,
want,ascent,88,2.81,1.408,36,2,
chicken,beet,83,2.599,1.286,37,2,
pork,emperor,75,2.181,1.101,38,2,
forest,knob,99,2.653,1.425,39,2,
need,faucet,15,2.289,1.193,40,2,

