word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
bacon,feud,83,1.486,0.719,8,1,1,0,0,1,-,-99,-99,
bleach,ruin,82,2.571,1.301,27,2,1,1,1,1,ruim,27.085,24.701,
nerve,bumper,94,7.141,5.998,37,3,1,1,0,0,bumper,43.492,36.103,
smother,surgery,87,34.805,5.429,20,4,1,1,1,1,surgery,17.626,10.105,
glue,force,90,1.421,0.462,23,5,1,1,0,0,force,19.93,15.215,
grip,beach,81,3.045,1.855,13,6,1,0,0,1,-,-99,-99,
calf,annoy,84,7.532,4.513,19,7,1,1,1,1,annoy,153.034,147.054,
banner,glide,79,5.563,1.956,4,8,1,0,1,0,-,-99,-99,
collect,loyalty,85,2.785,1.625,39,9,1,0,0,1,-,-99,-99,
rock,milk,77,3.642,1.845,21,10,1,0,1,0,-,-99,-99,
forest,knob,89,2.548,1.342,33,11,1,1,0,0,knob,22.472,15.247,
climax,saucer,81,111.288,87.993,6,12,1,0,1,0,-,-99,-99,
date,laugh,87,2.022,1.054,1,13,1,0,0,1,-,-99,-99,
biology,temper,81,3.829,1.721,0,14,1,1,1,1,temper,29.655,24.112,
replace,roach,93,1.87,0.79,30,15,1,1,0,0,roach,20.585,12.38,
want,ascent,89,2.077,1.086,22,16,1,1,0,0,ascent,17.477,10.229,
bullet,walkway,82,2.444,1.43,29,17,1,1,1,1,walkway,15.325,8.152,
shrink,mafia,76,2.988,1.396,11,18,1,0,1,0,-,-99,-99,
capital,figure,78,2.221,1.157,17,19,1,0,1,0,-,-99,-99,
anger,decay,84,2.259,1.349,34,20,1,1,1,1,decay,12.033,7.53,
fee,chowder,80,13.652,0.854,26,21,1,0,1,0,-,-99,-99,
copy,bedroom,83,2.388,1.476,38,22,1,0,0,1,-,-99,-99,
visit,glove,84,9.091,6.254,15,23,1,1,1,1,glove,31.787,28.037,
pork,emperor,97,2.389,1.31,10,24,1,1,0,0,emperor,16.728,7.634,
prison,loaf,87,2.86,1.561,12,25,1,1,1,1,loaf,19.059,14.005,
chicken,beet,92,1.725,0.878,24,26,1,1,0,0,beet,25.189,4.789,
remind,foam,93,6.524,2.09,32,27,1,1,0,0,foam,8.84,5.702,
mill,feast,84,2.685,1.502,36,28,1,0,0,1,-,-99,-99,
process,joker,91,3.413,1.396,2,29,1,1,1,1,jocker,27.501,12.916,
caring,skirt,80,7.819,5.622,18,30,1,0,0,1,-,-99,-99,
bias,sirloin,77,4.621,2.99,9,31,1,0,1,0,-,-99,-99,
plant,worm,85,3.22,2.069,14,32,1,1,1,1,worm,15.959,9.824,
need,faucet,88,1.301,0.485,28,33,1,1,0,0,faucet,15.486,10.199,
port,cinema,76,4.045,2.015,3,34,1,0,1,0,-,-99,-99,
risk,zero,74,4.07,2.602,7,35,1,0,1,0,-,-99,-99,
knock,otter,88,1.525,0.757,35,36,1,0,0,1,-,-99,-99,
fan,feature,75,2.317,1.261,5,37,1,0,0,1,-,-99,-99,
pea,bathtub,89,1.452,0.477,31,38,1,1,0,0,bathtup,19.707,7.95,
link,crisis,78,2.133,1.021,16,39,1,0,1,0,-,-99,-99,
find,clown,79,2.717,1.503,25,40,1,0,0,1,-,-99,-99,
biology,temper,81,3.829,1.721,0,1,2,1,1,1,temper,16.558,11.368,
date,laugh,87,2.022,1.054,1,2,2,0,0,1,-,-99,-99,
want,ascent,89,2.077,1.086,22,3,2,1,0,0,ascent,18.921,13.538,
visit,glove,84,9.091,6.254,15,4,2,1,1,1,glove,19.026,15.612,
prison,loaf,87,2.86,1.561,12,5,2,1,1,1,loaf,10.21,7.035,
shrink,mafia,76,2.988,1.396,11,6,2,0,1,0,-,-99,-99,
capital,figure,78,2.221,1.157,17,7,2,0,1,0,-,-99,-99,
process,joker,91,3.413,1.396,2,8,2,1,1,1,jocker,11.921,7.131,
grip,beach,81,3.045,1.855,13,9,2,0,0,1,-,-99,-99,
risk,zero,74,4.07,2.602,7,10,2,0,1,0,-,-99,-99,
forest,knob,89,2.548,1.342,33,11,2,1,0,0,knop,16.146,12.226,
bacon,feud,83,1.486,0.719,8,12,2,0,0,1,-,-99,-99,
bleach,ruin,82,2.571,1.301,27,13,2,1,1,1,ruim,21.474,16.332,
smother,surgery,87,34.805,5.429,20,14,2,1,1,1,surgery,20.406,11.096,
rock,milk,77,3.642,1.845,21,15,2,0,1,0,-,-99,-99,
nerve,bumper,94,7.141,5.998,37,16,2,1,0,0,bumper,19.872,10.272,
mill,feast,84,2.685,1.502,36,17,2,0,0,1,-,-99,-99,
copy,bedroom,83,2.388,1.476,38,18,2,0,0,1,-,-99,-99,
chicken,beet,92,1.725,0.878,24,19,2,1,0,0,beet,11.173,8.23,
caring,skirt,80,7.819,5.622,18,20,2,0,0,1,-,-99,-99,
bias,sirloin,77,4.621,2.99,9,21,2,0,1,0,-,-99,-99,
climax,saucer,81,111.288,87.993,6,22,2,0,1,0,-,-99,-99,
knock,otter,88,1.525,0.757,35,23,2,0,0,1,-,-99,-99,
fan,feature,75,2.317,1.261,5,24,2,0,0,1,-,-99,-99,
fee,chowder,80,13.652,0.854,26,25,2,0,1,0,-,-99,-99,
banner,glide,79,5.563,1.956,4,26,2,0,1,0,-,-99,-99,
glue,force,90,1.421,0.462,23,27,2,1,0,0,force,15.311,10.753,
link,crisis,78,2.133,1.021,16,28,2,0,1,0,-,-99,-99,
anger,decay,84,2.259,1.349,34,29,2,1,1,1,decay,20.795,15.789,
remind,foam,93,6.524,2.09,32,30,2,1,0,0,foam,9.586,5.732,
find,clown,79,2.717,1.503,25,31,2,0,0,1,-,-99,-99,
pork,emperor,97,2.389,1.31,10,32,2,1,0,0,emperor,14.982,5.952,
plant,worm,85,3.22,2.069,14,33,2,1,1,1,worm,9.862,6.934,
need,faucet,88,1.301,0.485,28,34,2,1,0,0,faucet,21.108,7.856,
port,cinema,76,4.045,2.015,3,35,2,0,1,0,-,-99,-99,
replace,roach,93,1.87,0.79,30,36,2,1,0,0,roach,15.694,9.328,
calf,annoy,84,7.532,4.513,19,37,2,1,1,1,annoy,10.813,7.453,
bullet,walkway,82,2.444,1.43,29,38,2,1,1,1,walkway,13.125,5.526,
collect,loyalty,85,2.785,1.625,39,39,2,0,0,1,-,-99,-99,
pea,bathtub,89,1.452,0.477,31,40,2,1,0,0,bathpup,12.093,5.766,
banner,glide,79,5.563,1.956,4,1,3,0,1,0,-,-99,-99,
copy,bedroom,83,2.388,1.476,38,2,3,0,0,1,-,-99,-99,
remind,foam,93,6.524,2.09,32,3,3,1,0,0,foam,11.155,7.813,
need,faucet,88,1.301,0.485,28,4,3,1,0,0,faucet,11.334,4.606,
pea,bathtub,89,1.452,0.477,31,5,3,1,0,0,bathtup,13.813,5.622,
glue,force,90,1.421,0.462,23,6,3,1,0,0,force,11.262,7.071,
nerve,bumper,94,7.141,5.998,37,7,3,1,0,0,bumper,18.829,11.407,
rock,milk,77,3.642,1.845,21,8,3,0,1,0,-,-99,-99,
pork,emperor,97,2.389,1.31,10,9,3,1,0,0,emperor,41.073,20.427,
anger,decay,84,2.259,1.349,34,10,3,1,1,1,decay,15.325,7.439,
caring,skirt,80,7.819,5.622,18,11,3,0,0,1,-,-99,-99,
capital,figure,78,2.221,1.157,17,12,3,0,1,0,-,-99,-99,
replace,roach,93,1.87,0.79,30,13,3,1,0,0,roach,12.33,6.899,
smother,surgery,87,34.805,5.429,20,14,3,1,1,1,surgery,20.029,5.51,
bleach,ruin,82,2.571,1.301,27,15,3,1,1,1,ruim,10.73,5.74,
collect,loyalty,85,2.785,1.625,39,16,3,0,0,1,-,-99,-99,
prison,loaf,87,2.86,1.561,12,17,3,1,1,1,loaf,10.907,6.364,
forest,knob,89,2.548,1.342,33,18,3,1,0,0,knop,44.524,40.423,
grip,beach,81,3.045,1.855,13,19,3,0,0,1,-,-99,-99,
want,ascent,89,2.077,1.086,22,20,3,1,0,0,ascent,173.447,161.585,
link,crisis,78,2.133,1.021,16,21,3,0,1,0,-,-99,-99,
process,joker,91,3.413,1.396,2,22,3,1,1,1,joker,42.392,38.105,
bias,sirloin,77,4.621,2.99,9,23,3,0,1,0,-,-99,-99,
fan,feature,75,2.317,1.261,5,24,3,0,0,1,-,-99,-99,
bacon,feud,83,1.486,0.719,8,25,3,0,0,1,-,-99,-99,
plant,worm,85,3.22,2.069,14,26,3,1,1,1,worm,24.126,18.449,
chicken,beet,92,1.725,0.878,24,27,3,1,0,0,beet,17.37,11.17,
find,clown,79,2.717,1.503,25,28,3,0,0,1,-,-99,-99,
knock,otter,88,1.525,0.757,35,29,3,0,0,1,-,-99,-99,
port,cinema,76,4.045,2.015,3,30,3,0,1,0,-,-99,-99,
biology,temper,81,3.829,1.721,0,31,3,1,1,1,temper,11.391,6.376,
risk,zero,74,4.07,2.602,7,32,3,0,1,0,-,-99,-99,
mill,feast,84,2.685,1.502,36,33,3,0,0,1,-,-99,-99,
bullet,walkway,82,2.444,1.43,29,34,3,1,1,1,walkway,19.921,12.115,
calf,annoy,84,7.532,4.513,19,35,3,1,1,1,annoy,23.493,19.732,
visit,glove,84,9.091,6.254,15,36,3,1,1,1,gloue,22.735,13.448,
climax,saucer,81,111.288,87.993,6,37,3,0,1,0,-,-99,-99,
date,laugh,87,2.022,1.054,1,38,3,0,0,1,-,-99,-99,
fee,chowder,80,13.652,0.854,26,39,3,0,1,0,-,-99,-99,
shrink,mafia,76,2.988,1.396,11,40,3,0,1,0,-,-99,-99,

