word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
visit,glove,71,2.013,0.643,30,1,1,0,0,1,-,-99,-99,
capital,figure,35,2.113,1.114,34,2,1,0,1,0,-,-99,-99,
plant,worm,100,2.471,1.361,1,3,1,1,1,1,bias,8.303,7.055,
nerve,bumper,65,1.447,0.658,26,4,1,0,0,1,-,-99,-99,
prison,loaf,72,1.699,0.652,21,5,1,0,1,0,-,-99,-99,
copy,bedroom,69,4.072,1.964,28,6,1,0,1,0,-,-99,-99,
replace,roach,42,1.665,0.907,38,7,1,0,0,1,-,-99,-99,
pea,bathtub,77,2.087,0.942,31,8,1,0,1,0,-,-99,-99,
mill,feast,100,2.003,1.008,17,9,1,1,1,1,find,4.563,3.699,
need,faucet,88,2.784,1.766,29,10,1,1,1,1,plant,14.601,10.025,
date,laugh,83,1.438,0.671,2,11,1,1,0,0,remind,6.4,5.089,
rock,milk,95,1.845,0.72,24,12,1,1,1,1,mill,4.16,3.2,
climax,saucer,100,2.597,1.231,27,13,1,1,1,1,station,4.299,2.392,
shrink,mafia,45,2.111,1.211,33,14,1,0,1,0,-,-99,-99,
process,joker,67,2.555,1.046,13,15,1,0,1,0,-,-99,-99,
pork,emperor,77,1.627,0.675,8,16,1,1,0,0,chicken,3.193,1.977,
caring,skirt,71,1.714,0.732,12,17,1,0,0,1,-,-99,-99,
bias,sirloin,74,1.813,0.839,19,18,1,0,1,0,-,-99,-99,
glue,force,41,1.626,0.849,16,19,1,0,0,1,-,-99,-99,
fee,chowder,73,2.409,1.233,0,20,1,1,0,0,find,4.621,3.982,
calf,annoy,73,1.771,0.707,15,21,1,1,0,0,look,7.48,4.712,
biology,temper,63,1.739,0.841,7,22,1,0,0,1,-,-99,-99,
grip,beach,71,1.508,0.562,6,23,1,0,0,1,-,-99,-99,
fan,feature,70,1.508,0.626,4,24,1,0,0,1,-,-99,-99,
forest,knob,75,1.681,0.75,37,25,1,1,0,0,knob,3.772,2.588,
port,cinema,85,2.627,1.016,23,26,1,1,1,1,pork,11.361,4.753,
link,crisis,72,1.784,0.852,36,27,1,0,0,1,-,-99,-99,
banner,glide,86,2.227,0.765,18,28,1,1,1,1,bias,4.501,3.15,
smother,surgery,71,1.543,0.638,10,29,1,0,0,1,-,-99,-99,
risk,zero,76,1.681,0.661,9,30,1,1,0,0,involve,5.431,3.399,
collect,loyalty,72,1.404,0.582,11,31,1,1,0,0,find,1.999,1.408,
bullet,walkway,75,8.095,2.362,14,32,1,0,1,0,-,-99,-99,
remind,foam,81,1.913,0.868,25,33,1,1,1,1,bias,4.246,3.382,
chicken,beet,81,2.001,0.859,3,34,1,1,1,1,pork,2.799,1.688,
anger,decay,86,1.662,0.736,32,35,1,1,0,0,find,4.544,3.176,
knock,otter,70,2.247,0.87,35,36,1,0,1,0,-,-99,-99,
bleach,ruin,77,1.434,0.584,5,37,1,1,0,0,look,5.983,5.04,
bacon,feud,100,2.272,1.15,39,38,1,1,0,0,pork,5.12,3.928,
find,clown,91,2.781,0.688,22,39,1,1,1,1,bias,2.303,1.439,
want,ascent,60,1.677,0.767,20,40,1,0,1,0,-,-99,-99,
smother,surgery,71,1.543,0.638,10,1,2,0,0,1,-,-99,-99,
risk,zero,76,1.681,0.661,9,2,2,1,0,0,remind ,3.261,1.661,
mill,feast,100,2.003,1.008,17,3,2,1,1,1,finish,6.144,2.599,
replace,roach,42,1.665,0.907,38,4,2,0,0,1,-,-99,-99,
bacon,feud,100,2.272,1.15,39,5,2,1,0,0,pork,2.293,1.421,
climax,saucer,100,2.597,1.231,27,6,2,1,1,1,station,4.943,1.423,
plant,worm,100,2.471,1.361,1,7,2,1,1,1,forest,4.72,3.4,
date,laugh,83,1.438,0.671,2,8,2,1,0,0,bias,3.544,2.68,
prison,loaf,72,1.699,0.652,21,9,2,0,1,0,-,-99,-99,
bleach,ruin,77,1.434,0.584,5,10,2,1,0,0,find,5.615,4.911,
calf,annoy,73,1.771,0.707,15,11,2,1,0,0,find,5.472,4.776,
glue,force,41,1.626,0.849,16,12,2,0,0,1,-,-99,-99,
copy,bedroom,69,4.072,1.964,28,13,2,0,1,0,-,-99,-99,
forest,knob,75,1.681,0.75,37,14,2,1,0,0,find,2.941,1.71,
nerve,bumper,65,1.447,0.658,26,15,2,0,0,1,-,-99,-99,
port,cinema,85,2.627,1.016,23,16,2,1,1,1,station,7.03,2.918,
need,faucet,88,2.784,1.766,29,17,2,1,1,1,remind,4.903,3.776,
bias,sirloin,74,1.813,0.839,19,18,2,0,1,0,-,-99,-99,
caring,skirt,71,1.714,0.732,12,19,2,0,0,1,-,-99,-99,
visit,glove,71,2.013,0.643,30,20,2,0,0,1,-,-99,-99,
remind,foam,81,1.913,0.868,25,21,2,1,1,1,find,4.462,1.934,
fan,feature,70,1.508,0.626,4,22,2,0,0,1,-,-99,-99,
pea,bathtub,77,2.087,0.942,31,23,2,0,1,0,-,-99,-99,
bullet,walkway,75,8.095,2.362,14,24,2,0,1,0,-,-99,-99,
link,crisis,72,1.784,0.852,36,25,2,0,0,1,-,-99,-99,
chicken,beet,81,2.001,0.859,3,26,2,1,1,1,pork,2.067,1.18,
process,joker,67,2.555,1.046,13,27,2,0,1,0,-,-99,-99,
capital,figure,35,2.113,1.114,34,28,2,0,1,0,-,-99,-99,
rock,milk,95,1.845,0.72,24,29,2,1,1,1,forest,3.743,1.808,
fee,chowder,73,2.409,1.233,0,30,2,1,0,0,bias,4.296,1.808,
shrink,mafia,45,2.111,1.211,33,31,2,0,1,0,-,-99,-99,
banner,glide,86,2.227,0.765,18,32,2,1,1,1,found,5.608,4.488,
want,ascent,60,1.677,0.767,20,33,2,0,1,0,-,-99,-99,
collect,loyalty,72,1.404,0.582,11,34,2,1,0,0,find,2.247,1.52,
grip,beach,71,1.508,0.562,6,35,2,0,0,1,-,-99,-99,
pork,emperor,77,1.627,0.675,8,36,2,1,0,0,chicken,3.647,1.128,
find,clown,91,2.781,0.688,22,37,2,1,1,1,remind,2.576,1.592,
anger,decay,86,1.662,0.736,32,38,2,1,0,0,focus,4.217,2.8,
biology,temper,63,1.739,0.841,7,39,2,0,0,1,-,-99,-99,
knock,otter,70,2.247,0.87,35,40,2,0,1,0,-,-99,-99,
knock,otter,70,2.247,0.87,35,1,3,0,1,0,-,-99,-99,
bullet,walkway,75,8.095,2.362,14,2,3,0,1,0,-,-99,-99,
risk,zero,76,1.681,0.661,9,3,3,1,0,0,bias,5.356,4.485,
climax,saucer,100,2.597,1.231,27,4,3,1,1,1,station,2.759,1.239,
bacon,feud,100,2.272,1.15,39,5,3,1,0,0,pork,2.368,1.297,
bias,sirloin,74,1.813,0.839,19,6,3,0,1,0,-,-99,-99,
fee,chowder,73,2.409,1.233,0,7,3,1,0,0,remind,2.935,1.64,
process,joker,67,2.555,1.046,13,8,3,0,1,0,-,-99,-99,
nerve,bumper,65,1.447,0.658,26,9,3,0,0,1,-,-99,-99,
pork,emperor,77,1.627,0.675,8,10,3,1,0,0,chicken,2.491,1.236,
port,cinema,85,2.627,1.016,23,11,3,1,1,1,station,3.216,1.392,
smother,surgery,71,1.543,0.638,10,12,3,0,0,1,-,-99,-99,
forest,knob,75,1.681,0.75,37,13,3,1,0,0,find ,3.39,2.022,
replace,roach,42,1.665,0.907,38,14,3,0,0,1,-,-99,-99,
fan,feature,70,1.508,0.626,4,15,3,0,0,1,-,-99,-99,
date,laugh,83,1.438,0.671,2,16,3,1,0,0,remind,3.469,2.237,
want,ascent,60,1.677,0.767,20,17,3,0,1,0,-,-99,-99,
plant,worm,100,2.471,1.361,1,18,3,1,1,1,forest,3.478,1.502,
collect,loyalty,72,1.404,0.582,11,19,3,1,0,0,bias,4.432,3.601,
chicken,beet,81,2.001,0.859,3,20,3,1,1,1,pork,1.839,1.04,
need,faucet,88,2.784,1.766,29,21,3,1,1,1,remind ,4.056,1.568,
calf,annoy,73,1.771,0.707,15,22,3,1,0,0,bacon,4.984,2.688,
biology,temper,63,1.739,0.841,7,23,3,0,0,1,-,-99,-99,
link,crisis,72,1.784,0.852,36,24,3,0,0,1,-,-99,-99,
mill,feast,100,2.003,1.008,17,25,3,1,1,1,finish,8.519,7.224,
prison,loaf,72,1.699,0.652,21,26,3,0,1,0,-,-99,-99,
visit,glove,71,2.013,0.643,30,27,3,0,0,1,-,-99,-99,
caring,skirt,71,1.714,0.732,12,28,3,0,0,1,-,-99,-99,
grip,beach,71,1.508,0.562,6,29,3,0,0,1,-,-99,-99,
anger,decay,86,1.662,0.736,32,30,3,1,0,0,bias,8.083,2.515,
rock,milk,95,1.845,0.72,24,31,3,1,1,1,forest,3.313,1.944,
glue,force,41,1.626,0.849,16,32,3,0,0,1,-,-99,-99,
pea,bathtub,77,2.087,0.942,31,33,3,0,1,0,-,-99,-99,
shrink,mafia,45,2.111,1.211,33,34,3,0,1,0,-,-99,-99,
capital,figure,35,2.113,1.114,34,35,3,0,1,0,-,-99,-99,
find,clown,91,2.781,0.688,22,36,3,1,1,1,bias,6.953,3.041,
copy,bedroom,69,4.072,1.964,28,37,3,0,1,0,-,-99,-99,
banner,glide,86,2.227,0.765,18,38,3,1,1,1,forest,3.815,2.383,
remind,foam,81,1.913,0.868,25,39,3,1,1,1,anger,4.472,3.361,
bleach,ruin,77,1.434,0.584,5,40,3,1,0,0,beach,4.472,3.425,

