word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
remind,foam,1,1,-99,-99,-99,-99,-99,
shrink,mafia,2,1,-99,-99,-99,-99,-99,
pork,emperor,3,1,-99,-99,-99,-99,-99,
visit,glove,4,1,-99,-99,-99,-99,-99,
anger,decay,5,1,-99,-99,-99,-99,-99,
glue,force,6,1,-99,-99,-99,-99,-99,
caring,skirt,7,1,-99,-99,-99,-99,-99,
copy,bedroom,8,1,-99,-99,-99,-99,-99,
bleach,ruin,9,1,-99,-99,-99,-99,-99,
grip,beach,10,1,-99,-99,-99,-99,-99,
climax,saucer,11,1,-99,-99,-99,-99,-99,
fee,chowder,12,1,-99,-99,-99,-99,-99,
pea,bathtub,13,1,-99,-99,-99,-99,-99,
bullet,walkway,14,1,-99,-99,-99,-99,-99,
rock,milk,15,1,-99,-99,-99,-99,-99,
knock,otter,16,1,-99,-99,-99,-99,-99,
find,clown,17,1,-99,-99,-99,-99,-99,
nerve,bumper,18,1,-99,-99,-99,-99,-99,
mill,feast,19,1,-99,-99,-99,-99,-99,
chicken,beet,20,1,-99,-99,-99,-99,-99,
risk,zero,21,1,-99,-99,-99,-99,-99,
need,faucet,22,1,-99,-99,-99,-99,-99,
link,crisis,23,1,-99,-99,-99,-99,-99,
collect,loyalty,24,1,-99,-99,-99,-99,-99,
smother,surgery,25,1,-99,-99,-99,-99,-99,
replace,roach,26,1,-99,-99,-99,-99,-99,
process,joker,27,1,-99,-99,-99,-99,-99,
biology,temper,28,1,-99,-99,-99,-99,-99,
bias,sirloin,29,1,-99,-99,-99,-99,-99,
forest,knob,30,1,-99,-99,-99,-99,-99,
calf,annoy,31,1,-99,-99,-99,-99,-99,
banner,glide,32,1,-99,-99,-99,-99,-99,
fan,feature,33,1,-99,-99,-99,-99,-99,
date,laugh,34,1,-99,-99,-99,-99,-99,
plant,worm,35,1,-99,-99,-99,-99,-99,
capital,figure,36,1,-99,-99,-99,-99,-99,
port,cinema,37,1,-99,-99,-99,-99,-99,
prison,loaf,38,1,-99,-99,-99,-99,-99,
bacon,feud,39,1,-99,-99,-99,-99,-99,
want,ascent,40,1,-99,-99,-99,-99,-99,
capital,figure,1,2,-99,-99,-99,-99,-99,
copy,bedroom,2,2,-99,-99,-99,-99,-99,
knock,otter,3,2,-99,-99,-99,-99,-99,
glue,force,4,2,-99,-99,-99,-99,-99,
fan,feature,5,2,-99,-99,-99,-99,-99,
bullet,walkway,6,2,-99,-99,-99,-99,-99,
bacon,feud,7,2,-99,-99,-99,-99,-99,
remind,foam,8,2,-99,-99,-99,-99,-99,
mill,feast,9,2,-99,-99,-99,-99,-99,
grip,beach,10,2,-99,-99,-99,-99,-99,
fee,chowder,11,2,-99,-99,-99,-99,-99,
chicken,beet,12,2,-99,-99,-99,-99,-99,
banner,glide,13,2,-99,-99,-99,-99,-99,
biology,temper,14,2,-99,-99,-99,-99,-99,
collect,loyalty,15,2,-99,-99,-99,-99,-99,
anger,decay,16,2,-99,-99,-99,-99,-99,
calf,annoy,17,2,-99,-99,-99,-99,-99,
rock,milk,18,2,-99,-99,-99,-99,-99,
caring,skirt,19,2,-99,-99,-99,-99,-99,
climax,saucer,20,2,-99,-99,-99,-99,-99,
plant,worm,21,2,-99,-99,-99,-99,-99,
visit,glove,22,2,-99,-99,-99,-99,-99,
need,faucet,23,2,-99,-99,-99,-99,-99,
pea,bathtub,24,2,-99,-99,-99,-99,-99,
nerve,bumper,25,2,-99,-99,-99,-99,-99,
want,ascent,26,2,-99,-99,-99,-99,-99,
smother,surgery,27,2,-99,-99,-99,-99,-99,
port,cinema,28,2,-99,-99,-99,-99,-99,
pork,emperor,29,2,-99,-99,-99,-99,-99,
shrink,mafia,30,2,-99,-99,-99,-99,-99,
bias,sirloin,31,2,-99,-99,-99,-99,-99,
risk,zero,32,2,-99,-99,-99,-99,-99,
find,clown,33,2,-99,-99,-99,-99,-99,
link,crisis,34,2,-99,-99,-99,-99,-99,
process,joker,35,2,-99,-99,-99,-99,-99,
date,laugh,36,2,-99,-99,-99,-99,-99,
bleach,ruin,37,2,-99,-99,-99,-99,-99,
forest,knob,38,2,-99,-99,-99,-99,-99,
replace,roach,39,2,-99,-99,-99,-99,-99,
prison,loaf,40,2,-99,-99,-99,-99,-99,
caring,skirt,1,3,40,4.749,3.417,1,5.149,
plant,worm,2,3,66,3.095,2.177,1,1.312,
shrink,mafia,3,3,70,1.745,0.87,1,1.686,
copy,bedroom,4,3,36,2.007,0.94,1,10.82,
collect,loyalty,5,3,61,2.38,1.311,1,0.738,
calf,annoy,6,3,31,2.333,1.241,1,0.859,
bleach,ruin,7,3,81,1.616,0.728,1,0.908,
prison,loaf,8,3,72,1.738,0.648,1,1.142,
risk,zero,9,3,30,2.133,1.184,1,0.838,
date,laugh,10,3,71,2.001,1.031,1,0.718,
pea,bathtub,11,3,24,1.89,0.758,1,0.779,
need,faucet,12,3,57,1.646,0.689,1,1.447,
knock,otter,13,3,69,3.153,1.393,1,1.05,
bias,sirloin,14,3,34,2.424,0.887,1,1.102,
want,ascent,15,3,73,3.166,2.226,1,3.318,
forest,knob,16,3,70,1.923,0.819,1,0.999,
process,joker,17,3,71,1.811,0.699,1,1.559,
glue,force,18,3,75,2.033,1.023,1,1.196,
visit,glove,19,3,29,2.567,0.788,1,1.024,
biology,temper,20,3,67,1.576,0.667,1,1.933,
chicken,beet,21,3,75,3.589,0.867,0,1.261,
replace,roach,22,3,58,2.034,0.972,0,1.072,
fan,feature,23,3,30,2.854,1.844,0,0.731,
fee,chowder,24,3,56,1.485,0.405,0,0.809,
banner,glide,25,3,64,1.57,0.597,0,0.654,
remind,foam,26,3,32,1.344,0.465,0,0.789,
bullet,walkway,27,3,57,1.882,0.75,0,0.901,
port,cinema,28,3,80,2.245,0.394,0,1.041,
climax,saucer,29,3,100,4.595,3.371,0,1.011,
nerve,bumper,30,3,73,1.935,0.903,0,0.912,
capital,figure,31,3,40,3.205,2.112,0,3.52,
bacon,feud,32,3,72,1.689,0.72,0,0.972,
smother,surgery,33,3,41,1.78,0.809,0,1.134,
mill,feast,34,3,61,1.86,0.516,0,0.77,
anger,decay,35,3,75,2.003,0.406,0,0.739,
grip,beach,36,3,66,1.548,0.647,0,2.056,
find,clown,37,3,44,1.89,0.676,0,0.802,
rock,milk,38,3,74,1.615,0.594,0,0.933,
link,crisis,39,3,95,1.546,0.556,0,0.626,
pork,emperor,40,3,40,1.64,0.528,0,0.761,

