word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
pork,emperor,25,3.193,0.866,31,1,1,0,0,1,-,-99,-99,
port,cinema,1,2.235,1.147,15,2,1,0,0,1,-,-99,-99,
date,laugh,50,1.908,0.705,12,3,1,0,1,0,-,-99,-99,
pea,bathtub,1,2.678,0.832,5,4,1,0,0,1,-,-99,-99,
need,faucet,75,5.91,1.697,26,5,1,1,1,1,want,7.01,5.796,
plant,worm,100,2.1,1.029,37,6,1,1,0,0,earth,4.995,3.394,
knock,otter,75,3.818,0.912,29,7,1,1,0,0,globe,5.741,3.727,
biology,temper,50,2.915,1.367,8,8,1,0,1,0,-,-99,-99,
process,joker,50,2.813,1.3,17,9,1,1,1,1,people,5.461,3.845,
mill,feast,49,2.749,0.926,10,10,1,0,0,1,-,-99,-99,
rock,milk,100,1.699,0.771,33,11,1,1,0,0,roll,4.735,3.091,
climax,saucer,75,6.344,1.543,32,12,1,1,1,1,help,4.276,2.572,
bacon,feud,75,4.361,0.954,21,13,1,0,0,1,-,-99,-99,
risk,zero,50,2.354,1.205,16,14,1,0,1,0,-,-99,-99,
nerve,bumper,25,4.351,0.707,2,15,1,0,1,0,-,-99,-99,
glue,force,74,2.733,1.103,24,16,1,1,1,1,gone,3.625,2.376,
anger,decay,100,1.741,0.932,0,17,1,1,0,0,fast,4.052,2.946,
find,clown,25,3.836,1.473,7,18,1,0,1,0,-,-99,-99,
copy,bedroom,50,4.451,2.342,25,19,1,0,0,1,-,-99,-99,
banner,glide,75,3.511,1.065,30,20,1,1,0,0,world,3.974,2.64,
want,ascent,100,2.398,0.986,28,21,1,1,0,0,desire,3.257,1.714,
remind,foam,25,5.676,0.718,11,22,1,0,1,0,-,-99,-99,
link,crisis,50,1.95,0.797,1,23,1,0,0,1,-,-99,-99,
prison,loaf,55,5.753,0.657,39,24,1,1,1,1,crazy,5.992,3.763,
replace,roach,1,1.685,0.842,38,25,1,0,0,1,-,-99,-99,
chicken,beet,100,5.147,1.39,4,26,1,1,0,0,laugh,6.983,2.124,
smother,surgery,100,2.03,1.01,20,27,1,1,0,0,roll,5.834,4.075,
shrink,mafia,50,3.707,1.488,18,28,1,1,1,1,eerie,4.632,2.607,
