word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
remind,foam,36,1.903,0.985,16,1,1,1,1,1,baloon,6.969,4.667,
smother,surgery,37,3.166,2.056,8,2,1,0,0,1,-,-99,-99,
want,ascent,25,4.644,2.654,6,3,1,1,0,0,desire,6.539,4.311,
bleach,ruin,40,2.739,1.577,21,4,1,0,0,1,-,-99,-99,
biology,temper,25,2.913,1.573,19,5,1,1,0,0,scared,4.236,3.101,
collect,loyalty,57,3.027,1.906,34,6,1,1,1,1,field,11.821,9.549,
fee,chowder,56,7.975,4.547,27,7,1,0,0,1,-,-99,-99,
fan,feature,27,3.392,1.311,20,8,1,1,0,0,beach,10.41,8.731,
bullet,walkway,79,4.594,2.438,2,9,1,0,1,0,-,-99,-99,
copy,bedroom,22,2.347,1.12,36,10,1,1,0,0,paste,4.584,2.278,
climax,saucer,92,2.199,1.166,1,11,1,0,1,0,-,-99,-99,
shrink,mafia,95,2.976,1.369,24,12,1,0,1,0,-,-99,-99,
anger,decay,89,3.337,2.117,14,13,1,0,1,0,-,-99,-99,
replace,roach,61,3.131,1.483,29,14,1,0,0,1,-,-99,-99,
rock,milk,35,8.647,7.412,37,15,1,0,0,1,-,-99,-99,
process,joker,66,2.396,1.499,10,16,1,1,1,1,cheese,3.451,1.582,
grip,beach,25,2.578,1.618,0,17,1,1,0,0,pot,9.127,7.605,
knock,otter,31,2.626,1.283,13,18,1,1,0,0,wood,3.057,1.525,
banner,glide,39,1.953,1.079,15,19,1,1,1,1,ad,3.624,1.502,
glue,force,43,4.276,1.978,26,20,1,1,1,1,horse,2.823,1.493,
caring,skirt,40,2.265,1.257,25,21,1,0,0,1,-,-99,-99,
port,cinema,86,5.9,4.363,4,22,1,0,1,0,-,-99,-99,
nerve,bumper,54,2.264,1.616,30,23,1,1,1,1,bundle,8.794,6.273,
link,crisis,74,3.291,1.963,22,24,1,0,1,0,-,-99,-99,
find,clown,64,3.054,0.684,35,25,1,1,1,1,weather,6.625,4.866,
bacon,feud,97,3.046,1.548,17,26,1,0,1,0,-,-99,-99,
mill,feast,15,3.431,1.078,11,27,1,1,0,0,row,11.351,10.11,
date,laugh,100,1.754,0.826,39,28,1,0,1,0,-,-99,-99,
need,faucet,60,2.497,1.394,7,29,1,1,1,1,new,6.247,5.018,
risk,zero,43,2.467,1.433,23,30,1,0,0,1,-,-99,-99,
capital,figure,100,2.741,0.945,38,31,1,0,1,0,-,-99,-99,
prison,loaf,45,2.738,1.002,12,32,1,1,1,1,guard,8.73,7.086,
visit,glove,33,3.099,1.812,33,33,1,1,0,0,dawn,21.138,19.279,
forest,knob,20,4.642,1.164,32,34,1,1,0,0,face,6.897,5.811,
plant,worm,58,3.759,2.282,9,35,1,0,0,1,-,-99,-99,
pea,bathtub,31,2.728,1.032,31,36,1,1,0,0,body,5.746,4.087,
chicken,beet,61,3.049,1.602,5,37,1,0,0,1,-,-99,-99,
calf,annoy,63,2.977,2.086,28,38,1,1,1,1,hair,3.28,2.225,
pork,emperor,88,7.055,2.736,3,39,1,0,1,0,-,-99,-99,
bias,sirloin,38,2.745,1.544,18,40,1,0,0,1,-,-99,-99,
visit,glove,33,3.099,1.812,33,1,2,1,0,0,forest,5.791,4.273,
bacon,feud,97,3.046,1.548,17,2,2,0,1,0,-,-99,-99,
plant,worm,58,3.759,2.282,9,3,2,0,0,1,-,-99,-99,
banner,glide,39,1.953,1.079,15,4,2,1,1,1,wave,4.336,3.666,
