word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
want,ascent,100,1.96,1.151,25,1,1,1,0,0,ascent,11.119,6.976,
glue,force,100,1.75,1.007,35,2,1,0,0,1,-,-99,-99,
fee,chowder,100,25.206,23.99,16,3,1,0,1,0,-,-99,-99,
rock,milk,100,1.894,1.023,2,4,1,1,1,1,milk,32.817,20.641,
banner,glide,100,2.612,1.628,11,5,1,1,1,1,glide,12.238,7.926,
chicken,beet,100,2.774,1.83,37,6,1,0,0,1,-,-99,-99,
climax,saucer,100,2.254,1.198,7,7,1,1,1,1,saucer,12.509,8.101,
prison,loaf,100,1.934,1.037,3,8,1,1,1,1,loaf,8.687,4.671,
nerve,bumper,100,4.207,3.206,1,9,1,1,1,1,bumper,15.942,12.406,
capital,figure,100,2.245,1.373,15,10,1,0,1,0,-,-99,-99,
risk,zero,100,1.846,1.07,34,11,1,0,0,1,-,-99,-99,
bacon,feud,100,2.502,1.486,31,12,1,0,0,1,-,-99,-99,
fan,feature,100,2.462,1.23,28,13,1,1,0,0,feature,20.185,16.76,
caring,skirt,100,3.117,2.116,21,14,1,0,1,0,-,-99,-99,
visit,glove,100,32.038,2.239,27,15,1,1,0,0,glove,9.764,6.876,
link,crisis,100,6.398,5.326,18,16,1,0,1,0,-,-99,-99,
plant,worm,100,10.446,9.422,10,17,1,1,1,1,worm,7.596,4.804,
replace,roach,35,13.734,10.942,8,18,1,1,0,0,roach,6.784,3.357,
bullet,walkway,100,1.894,0.902,19,19,1,0,1,0,-,-99,-99,
date,laugh,100,4.75,1.982,23,20,1,1,0,0,laugh,14.481,11.657,
collect,loyalty,100,1.91,0.966,17,21,1,0,1,0,-,-99,-99,
calf,annoy,100,1.821,0.941,32,22,1,0,0,1,-,-99,-99,
mill,feast,100,2.102,1.134,36,23,1,0,0,1,-,-99,-99,
grip,beach,100,1.982,1.118,22,24,1,1,0,0,beach,6,3.256,
anger,decay,100,2.51,1.51,14,25,1,0,1,0,-,-99,-99,
shrink,mafia,100,1.91,1.021,20,26,1,0,1,0,-,-99,-99,
pork,emperor,100,1.933,1.037,12,27,1,0,1,0,-,-99,-99,
forest,knob,100,3.926,3.002,5,28,1,1,1,1,knob,12.023,9.087,
copy,bedroom,100,2.209,1.294,38,29,1,0,0,1,-,-99,-99,
bias,sirloin,100,1.982,1.127,24,30,1,1,0,0,sirloin,23.468,19.549,
biology,temper,100,2.639,1.291,0,31,1,1,1,1,temper,45.054,41.831,
knock,otter,100,2.477,1.301,33,32,1,0,0,1,-,-99,-99,
port,cinema,100,7.908,6.579,9,33,1,1,1,1,cinema,6.498,2.809,
remind,foam,60,17.181,1.135,4,34,1,1,0,0,foam,29.759,25.158,
pea,bathtub,100,2.118,1.16,30,35,1,0,0,1,-,-99,-99,
process,joker,100,2.221,1.085,39,36,1,0,0,1,-,-99,-99,
smother,surgery,100,2.502,1.15,13,37,1,0,1,0,-,-99,-99,
bleach,ruin,100,1.702,0.831,26,38,1,1,0,0,ruin,16.022,13.613,
need,faucet,100,1.868,0.996,29,39,1,1,0,0,faucet,16.222,12.87,
find,clown,100,4.452,3.213,6,40,1,1,1,1,clown,10.543,7.056,
link,crisis,100,6.398,5.326,18,1,2,0,1,0,-,-99,-99,
need,faucet,100,1.868,0.996,29,2,2,1,0,0,faucet,11.454,7.967,
biology,temper,100,2.639,1.291,0,3,2,1,1,1,temper,10.447,7.375,
find,clown,100,4.452,3.213,6,4,2,1,1,1,clown,6.142,3.214,
risk,zero,100,1.846,1.07,34,5,2,0,0,1,-,-99,-99,
pork,emperor,100,1.933,1.037,12,6,2,0,1,0,-,-99,-99,
climax,saucer,100,2.254,1.198,7,7,2,1,1,1,saucer,12.33,7.618,
shrink,mafia,100,1.91,1.021,20,8,2,0,1,0,-,-99,-99,
process,joker,100,2.221,1.085,39,9,2,0,0,1,-,-99,-99,
copy,bedroom,100,2.209,1.294,38,10,2,0,0,1,-,-99,-99,
