word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
process,joker,25,3.415,1.87,2,1,1,1,1,1,dog,62.133,59.106,
prison,loaf,71,7.157,4.375,33,2,1,1,0,0,loaf,14.277,9.767,
nerve,bumper,22,4.171,1.771,14,3,1,0,0,1,-,-99,-99,
bleach,ruin,100,6.454,2.407,32,4,1,1,1,1,ruin,15.116,11.685,
want,ascent,26,9.916,7.846,37,5,1,0,0,1,-,-99,-99,
biology,temper,17,3.02,1.42,12,6,1,0,1,0,-,-99,-99,
pea,bathtub,22,3.991,1.44,15,7,1,0,0,1,-,-99,-99,
fee,chowder,16,2.743,1.247,22,8,1,0,1,0,-,-99,-99,
calf,annoy,49,45.151,1.999,34,9,1,1,0,0,cat,32.479,29.265,
shrink,mafia,31,2.876,1.47,20,10,1,1,1,1,no,18.735,17.087,
pork,emperor,74,3.252,1.725,30,11,1,1,0,0,belly,17.541,12.047,
capital,figure,73,4.04,2.312,8,12,1,1,0,0,figure,13.66,8.677,
caring,skirt,11,4.035,2.468,26,13,1,0,1,0,-,-99,-99,
date,laugh,67,9.719,7.072,29,14,1,1,0,0,laugh,23.207,18.367,
glue,force,15,4.11,2.398,5,15,1,0,1,0,-,-99,-99,
rock,milk,58,3.087,1.249,24,16,1,1,1,1,zero,20.87,18.093,
risk,zero,36,3.508,1.212,31,17,1,0,0,1,-,-99,-99,
link,crisis,18,2.845,1.468,27,18,1,0,0,1,-,-99,-99,
smother,surgery,16,8.245,1.783,19,19,1,0,1,0,-,-99,-99,
banner,glide,11,17.67,15.879,6,20,1,0,1,0,-,-99,-99,
plant,worm,79,2.814,1.543,21,21,1,1,0,0,dig,37.717,34.3,
remind,foam,20,3.116,1.305,18,22,1,1,1,1,saucer,19.131,13.525,
anger,decay,52,13.313,10.331,28,23,1,1,0,0,happy,9.514,5.193,
fan,feature,34,3.077,1.303,9,24,1,0,0,1,-,-99,-99,
visit,glove,36,3.277,1.741,25,25,1,1,0,0,try,16.881,15.105,
bullet,walkway,20,12.573,10.406,7,26,1,1,1,1,bite,7.104,3.567,
find,clown,16,3.376,1.657,36,27,1,0,0,1,-,-99,-99,
port,cinema,78,5.076,1.572,23,28,1,1,0,0,cinema,17.811,11.987,
collect,loyalty,34,4.763,2.181,35,29,1,0,0,1,-,-99,-99,
chicken,beet,41,5.526,4.137,11,30,1,1,1,1,beet,20.982,17.972,
bacon,feud,17,4.671,2.664,13,31,1,0,1,0,-,-99,-99,
copy,bedroom,22,3.797,1.828,17,32,1,1,1,1,bedroom,24.035,17.988,
forest,knob,26,4.91,1.983,4,33,1,1,1,1,tree,11.958,9.727,
need,faucet,16,3.503,1.455,1,34,1,0,1,0,-,-99,-99,
bias,sirloin,30,10.637,8.254,16,35,1,0,0,1,-,-99,-99,
mill,feast,37,4.278,1.478,38,36,1,1,0,0,no,28.761,25.634,
climax,saucer,15,8.309,1.357,10,37,1,0,1,0,-,-99,-99,
grip,beach,32,12.78,11.15,39,38,1,0,0,1,-,-99,-99,
replace,roach,27,4.733,1.622,3,39,1,1,1,1,no,22.473,20.801,
knock,otter,18,3.293,1.198,0,40,1,0,1,0,-,-99,-99,
port,cinema,78,5.076,1.572,23,1,2,1,0,0,cinema,12.876,8.527,
remind,foam,20,3.116,1.305,18,2,2,1,1,1,replace,13.149,8.865,
fee,chowder,16,2.743,1.247,22,3,2,0,1,0,-,-99,-99,
shrink,mafia,31,2.876,1.47,20,4,2,1,1,1,glove,11.043,8.549,
pea,bathtub,22,3.991,1.44,15,5,2,0,0,1,-,-99,-99,
capital,figure,73,4.04,2.312,8,6,2,1,0,0,no,37.149,35.333,
fan,feature,34,3.077,1.303,9,7,2,0,0,1,-,-99,-99,
bias,sirloin,30,10.637,8.254,16,8,2,0,0,1,-,-99,-99,
copy,bedroom,22,3.797,1.828,17,9,2,1,1,1,bedroom,20.898,16.019,
biology,temper,17,3.02,1.42,12,10,2,0,1,0,-,-99,-99,
collect,loyalty,34,4.763,2.181,35,11,2,0,0,1,-,-99,-99,
replace,roach,27,4.733,1.622,3,12,2,1,1,1,no,14.824,12.297,
anger,decay,52,13.313,10.331,28,13,2,1,0,0,decay,10.768,7.728,
grip,beach,32,12.78,11.15,39,14,2,0,0,1,-,-99,-99,
bacon,feud,17,4.671,2.664,13,15,2,0,1,0,-,-99,-99,
prison,loaf,71,7.157,4.375,33,16,2,1,0,0,loaf,13.28,10.364,
link,crisis,18,2.845,1.468,27,17,2,0,0,1,-,-99,-99,
caring,skirt,11,4.035,2.468,26,18,2,0,1,0,-,-99,-99,
chicken,beet,41,5.526,4.137,11,19,2,1,1,1,beet,14.904,12.399,
smother,surgery,16,8.245,1.783,19,20,2,0,1,0,-,-99,-99,
mill,feast,37,4.278,1.478,38,21,2,1,0,0,no,5.14,3.312,
rock,milk,58,3.087,1.249,24,22,2,1,1,1,milk,34.255,11.286,
find,clown,16,3.376,1.657,36,23,2,0,0,1,-,-99,-99,
forest,knob,26,4.91,1.983,4,24,2,1,1,1,tree,8.644,6.429,
risk,zero,36,3.508,1.212,31,25,2,0,0,1,-,-99,-99,
process,joker,25,3.415,1.87,2,26,2,1,1,1,no,26.678,25.08,
banner,glide,11,17.67,15.879,6,27,2,0,1,0,-,-99,-99,
date,laugh,67,9.719,7.072,29,28,2,1,0,0,laugh,11.333,8.676,
bullet,walkway,20,12.573,10.406,7,29,2,1,1,1,no,17.032,15.553,
nerve,bumper,22,4.171,1.771,14,30,2,0,0,1,-,-99,-99,
want,ascent,26,9.916,7.846,37,31,2,0,0,1,-,-99,-99,
calf,annoy,49,45.151,1.999,34,32,2,1,0,0,no,16.027,14.595,
visit,glove,36,3.277,1.741,25,33,2,1,0,0,no,18.99,17.367,
climax,saucer,15,8.309,1.357,10,34,2,0,1,0,-,-99,-99,
need,faucet,16,3.503,1.455,1,35,2,0,1,0,-,-99,-99,
plant,worm,79,2.814,1.543,21,36,2,1,0,0,worm,9.714,6.916,
pork,emperor,74,3.252,1.725,30,37,2,1,0,0,no,25.223,23.455,
knock,otter,18,3.293,1.198,0,38,2,0,1,0,-,-99,-99,
glue,force,15,4.11,2.398,5,39,2,0,1,0,-,-99,-99,
bleach,ruin,100,6.454,2.407,32,40,2,1,1,1,ruin,8.961,5.969,
prison,loaf,71,7.157,4.375,33,1,3,1,0,0,no,8.657,7.012,
capital,figure,73,4.04,2.312,8,2,3,1,0,0,figure,12.092,9.405,
knock,otter,18,3.293,1.198,0,3,3,0,1,0,-,-99,-99,
nerve,bumper,22,4.171,1.771,14,4,3,0,0,1,-,-99,-99,
port,cinema,78,5.076,1.572,23,5,3,1,0,0,cinema,19.421,16.589,
find,clown,16,3.376,1.657,36,6,3,0,0,1,-,-99,-99,
banner,glide,11,17.67,15.879,6,7,3,0,1,0,-,-99,-99,
rock,milk,58,3.087,1.249,24,8,3,1,1,1,milk,10.266,7.961,
need,faucet,16,3.503,1.455,1,9,3,0,1,0,-,-99,-99,
collect,loyalty,34,4.763,2.181,35,10,3,0,0,1,-,-99,-99,
bacon,feud,17,4.671,2.664,13,11,3,0,1,0,-,-99,-99,
bias,sirloin,30,10.637,8.254,16,12,3,0,0,1,-,-99,-99,
chicken,beet,41,5.526,4.137,11,13,3,1,1,1,beet,6.142,3.605,
climax,saucer,15,8.309,1.357,10,14,3,0,1,0,-,-99,-99,
calf,annoy,49,45.151,1.999,34,15,3,1,0,0,no,11.29,9.771,
bleach,ruin,100,6.454,2.407,32,16,3,1,1,1,ruin,5.2,2.833,
shrink,mafia,31,2.876,1.47,20,17,3,1,1,1,no,25.552,24.147,
plant,worm,79,2.814,1.543,21,18,3,1,0,0,worm,11.11,3.23,
process,joker,25,3.415,1.87,2,19,3,1,1,1,no,6.348,3.542,
mill,feast,37,4.278,1.478,38,20,3,1,0,0,no,28.205,26.588,
replace,roach,27,4.733,1.622,3,21,3,1,1,1,no,7.977,3.531,
glue,force,15,4.11,2.398,5,22,3,0,1,0,-,-99,-99,
fee,chowder,16,2.743,1.247,22,23,3,0,1,0,-,-99,-99,
risk,zero,36,3.508,1.212,31,24,3,0,0,1,-,-99,-99,
visit,glove,36,3.277,1.741,25,25,3,1,0,0,no,11.281,9.442,
date,laugh,67,9.719,7.072,29,26,3,1,0,0,laugh,7.085,4.524,
biology,temper,17,3.02,1.42,12,27,3,0,1,0,-,-99,-99,
pea,bathtub,22,3.991,1.44,15,28,3,0,0,1,-,-99,-99,
remind,foam,20,3.116,1.305,18,29,3,1,1,1,no,17.906,16.347,
caring,skirt,11,4.035,2.468,26,30,3,0,1,0,-,-99,-99,
fan,feature,34,3.077,1.303,9,31,3,0,0,1,-,-99,-99,
smother,surgery,16,8.245,1.783,19,32,3,0,1,0,-,-99,-99,
want,ascent,26,9.916,7.846,37,33,3,0,0,1,-,-99,-99,
forest,knob,26,4.91,1.983,4,34,3,1,1,1,no,20.192,17.347,
bullet,walkway,20,12.573,10.406,7,35,3,1,1,1,no,9.152,7.375,
link,crisis,18,2.845,1.468,27,36,3,0,0,1,-,-99,-99,
anger,decay,52,13.313,10.331,28,37,3,1,0,0,decay,11.734,7.395,
grip,beach,32,12.78,11.15,39,38,3,0,0,1,-,-99,-99,
copy,bedroom,22,3.797,1.828,17,39,3,1,1,1,bedroom,13.891,9.906,
pork,emperor,74,3.252,1.725,30,40,3,1,0,0,no,14.623,13.071,

