word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
plant,worm,24,9,6.067,12,1,1,1,0,0,worm,6.084,2.763,
remind,foam,25,56.121,52.453,23,2,1,1,0,0,foam,59.355,52.538,
nerve,bumper,19,39.457,36.366,29,3,1,0,0,1,-,-99,-99,
forest,knob,33,11.453,2.346,17,4,1,1,0,0,knob,49.359,2.837,
visit,glove,43,23.219,8.02,1,5,1,1,0,0,skip,21.877,18.781,
mill,feast,27,14.846,11.492,19,6,1,1,0,0,feast,7.256,3.445,
anger,decay,42,9.686,3.942,14,7,1,1,0,0,decay,11.645,7.513,
caring,skirt,84,11.438,8.272,30,8,1,1,1,1,skirt,8.001,3.701,
fee,chowder,23,19.9,17.972,38,9,1,0,0,1,-,-99,-99,
smother,surgery,82,6.562,1.889,10,10,1,1,1,1,surgery,43.754,36.313,
pea,bathtub,23,14.462,1.525,35,11,1,0,0,1,-,-99,-99,
biology,temper,65,12.365,1.673,34,12,1,0,1,0,-,-99,-99,
bullet,walkway,20,22.44,4.853,2,13,1,0,0,1,-,-99,-99,
copy,bedroom,77,35.987,31.774,20,14,1,1,1,1,bedroom,9.546,6.27,
climax,saucer,33,13.77,9.088,8,15,1,1,0,0,bowl,33.558,26.594,
risk,zero,91,12.123,8.22,11,16,1,1,1,1,zero,11.672,8.696,
port,cinema,38,33.868,20.293,39,17,1,1,0,0,cinema,25.041,18.984,
glue,force,69,6.814,1.467,7,18,1,0,1,0,-,-99,-99,
banner,glide,78,8.357,4.254,33,19,1,1,1,1,glide,5.033,1.881,
calf,annoy,64,8.913,1.549,32,20,1,0,1,0,-,-99,-99,
pork,emperor,81,10.439,1.611,25,21,1,1,1,1,emperor,5.264,1.855,
shrink,mafia,92,6.184,3.171,21,22,1,1,1,1,mafia,4.154,1.813,
process,joker,83,6.526,2.961,0,23,1,1,1,1,joker,6.625,2.775,
bias,sirloin,56,17.551,2.05,4,24,1,0,1,0,-,-99,-99,
date,laugh,85,8.971,2.579,18,25,1,1,1,1,laugh,4.899,2.569,
prison,loaf,75,3.596,1.518,15,26,1,0,1,0,-,-99,-99,
bacon,feud,37,27.4,3.014,31,27,1,1,0,0,feud,9.242,2.466,
knock,otter,13,18.033,6.005,36,28,1,0,0,1,-,-99,-99,
link,crisis,20,17.473,12.365,6,29,1,0,0,1,-,-99,-99,
replace,roach,20,19.041,12.256,3,30,1,0,0,1,-,-99,-99,
need,faucet,10,44.516,41.962,16,31,1,0,0,1,-,-99,-99,
rock,milk,66,3.158,1.292,5,32,1,0,1,0,-,-99,-99,
capital,figure,26,21.47,7.427,26,33,1,1,0,0,crisis,107.745,42.808,
find,clown,70,17.715,14.054,13,34,1,0,1,0,-,-99,-99,
want,ascent,27,14.012,9.941,24,35,1,0,1,0,-,-99,-99,
chicken,beet,78,4.327,1.832,28,36,1,1,1,1,beet,22.232,3.932,
fan,feature,15,35.048,2.011,9,37,1,0,0,1,-,-99,-99,
grip,beach,71,30.786,23.64,27,38,1,0,1,0,-,-99,-99,
collect,loyalty,23,40.401,29.238,37,39,1,0,0,1,-,-99,-99,
