word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
collect,loyalty,6,6.967,4.742,24,1,1,0,0,1,-,-99,-99,
date,laugh,10,5.655,3.18,23,2,1,1,0,0,night,15.175,12.297,
fan,feature,89,14.169,8.238,6,3,1,1,1,1,favorite,8.423,4.196,
forest,knob,8,7.721,5.037,10,4,1,1,0,0,wall,11.358,9.192,
glue,force,12,5.765,2.945,25,5,1,1,1,1,donkey,13.811,10.643,
grip,beach,5,6.759,3.879,20,6,1,0,0,1,-,-99,-99,
climax,saucer,8,7.701,4.592,13,7,1,1,0,0,soup,6.357,4.303,
biology,temper,7,5.32,2.69,28,8,1,1,0,0,soup,7.98,5.963,
process,joker,5,6.945,3.718,0,9,1,0,0,1,-,-99,-99,
remind,foam,15,4.381,2.063,35,10,1,1,1,1,reward,11.809,9.213,
pea,bathtub,99,10.791,6.432,36,11,1,1,1,1,bathtub,6.184,2.556,
copy,bedroom,10,8.862,6.561,15,12,1,1,0,0,tree,19.446,17.276,
port,cinema,9,8.728,6.31,7,13,1,1,0,0,date,6.869,4.76,
chicken,beet,3,9.085,6.201,31,14,1,0,0,1,-,-99,-99,
banner,glide,5,7.828,4.517,2,15,1,0,0,1,-,-99,-99,
bias,sirloin,10,4.111,1.928,1,16,1,0,1,0,-,-99,-99,
bleach,ruin,16,5.438,2.963,27,17,1,1,1,1,ruin,9.452,3.463,
bullet,walkway,8,5.591,3.342,22,18,1,1,0,0,gun,14.508,12.53,
need,faucet,7,4.728,2.579,38,19,1,0,0,1,-,-99,-99,
rock,milk,98,4.224,1.788,21,20,1,1,1,1,milk,4.353,2.21,
link,crisis,12,4.793,2.326,26,21,1,0,1,0,-,-99,-99,
pork,emperor,9,5.302,2.588,33,22,1,0,1,0,-,-99,-99,
visit,glove,13,3.858,1.76,30,23,1,1,1,1,group,15.278,12.833,
calf,annoy,3,4.236,1.911,4,24,1,0,1,0,-,-99,-99,
replace,roach,6,5.498,2.426,39,25,1,0,1,0,-,-99,-99,
bacon,feud,12,9.732,7.152,17,26,1,1,0,0,stress,15.92,13.566,
fee,chowder,10,5.236,2.826,19,27,1,1,0,0,food,15.774,13.501,
knock,otter,7,6.624,4.244,5,28,1,0,0,1,-,-99,-99,
risk,zero,8,5.715,3.421,37,29,1,0,1,0,-,-99,-99,
anger,decay,6,3.969,1.697,32,30,1,0,1,0,-,-99,-99,
prison,loaf,4,17.489,9.109,8,31,1,0,0,1,-,-99,-99,
smother,surgery,94,6.86,2.434,12,32,1,1,1,1,surgery,9.851,2.64,
shrink,mafia,95,6.74,4.167,3,33,1,1,1,1,mafia,7.332,4.554,
capital,figure,12,4.454,1.873,29,34,1,0,1,0,-,-99,-99,
find,clown,7,6.028,3.305,9,35,1,0,0,1,-,-99,-99,
want,ascent,12,4.107,1.852,18,36,1,0,1,0,-,-99,-99,
mill,feast,7,8.605,6.277,14,37,1,0,0,1,-,-99,-99,
caring,skirt,9,6.286,3.547,16,38,1,1,0,0,want,6.573,4.431,
plant,worm,95,8.386,2.75,11,39,1,1,1,1,money,8.929,6.438,
nerve,bumper,12,4.146,1.871,34,40,1,0,1,0,-,-99,-99,
fan,feature,89,14.169,8.238,6,1,2,1,1,1,fee,10.641,8.728,
replace,roach,6,5.498,2.426,39,2,2,0,1,0,-,-99,-99,
mill,feast,7,8.605,6.277,14,3,2,0,0,1,-,-99,-99,
remind,foam,15,4.381,2.063,35,4,2,1,1,1,later,6.554,3.867,
link,crisis,12,4.793,2.326,26,5,2,0,1,0,-,-99,-99,
pea,bathtub,99,10.791,6.432,36,6,2,1,1,1,bathtub,5.434,2.239,
date,laugh,10,5.655,3.18,23,7,2,1,0,0,skirt,6.935,4.185,
capital,figure,12,4.454,1.873,29,8,2,0,1,0,-,-99,-99,
bias,sirloin,10,4.111,1.928,1,9,2,0,1,0,-,-99,-99,
risk,zero,8,5.715,3.421,37,10,2,0,1,0,-,-99,-99,
copy,bedroom,10,8.862,6.561,15,11,2,1,0,0,state,7.961,5.433,
calf,annoy,3,4.236,1.911,4,12,2,0,1,0,-,-99,-99,
glue,force,12,5.765,2.945,25,13,2,1,1,1,saucer,14.527,8.169,
forest,knob,8,7.721,5.037,10,14,2,1,0,0,free,12.173,9.672,
find,clown,7,6.028,3.305,9,15,2,0,0,1,-,-99,-99,
prison,loaf,4,17.489,9.109,8,16,2,0,0,1,-,-99,-99,
knock,otter,7,6.624,4.244,5,17,2,0,0,1,-,-99,-99,
rock,milk,98,4.224,1.788,21,18,2,1,1,1,milk,4.449,2.354,
anger,decay,6,3.969,1.697,32,19,2,0,1,0,-,-99,-99,
process,joker,5,6.945,3.718,0,20,2,0,0,1,-,-99,-99,
banner,glide,5,7.828,4.517,2,21,2,0,0,1,-,-99,-99,
bullet,walkway,8,5.591,3.342,22,22,2,1,0,0,train,6.196,3.803,
bleach,ruin,16,5.438,2.963,27,23,2,1,1,1,ruin,4.933,2.426,
caring,skirt,9,6.286,3.547,16,24,2,1,0,0,tree,16.989,15.043,
plant,worm,95,8.386,2.75,11,25,2,1,1,1,worm,6.732,4.043,
want,ascent,12,4.107,1.852,18,26,2,0,1,0,-,-99,-99,
collect,loyalty,6,6.967,4.742,24,27,2,0,0,1,-,-99,-99,
need,faucet,7,4.728,2.579,38,28,2,0,0,1,-,-99,-99,
nerve,bumper,12,4.146,1.871,34,29,2,0,1,0,-,-99,-99,
climax,saucer,8,7.701,4.592,13,30,2,1,0,0,class,11.203,8.706,
shrink,mafia,95,6.74,4.167,3,31,2,1,1,1,mafia,5.406,2.137,
visit,glove,13,3.858,1.76,30,32,2,1,1,1,home,5.229,2.805,
fee,chowder,10,5.236,2.826,19,33,2,1,0,0,waste,5.773,3.601,
pork,emperor,9,5.302,2.588,33,34,2,0,1,0,-,-99,-99,
biology,temper,7,5.32,2.69,28,35,2,1,0,0,class,9.097,6.606,
grip,beach,5,6.759,3.879,20,36,2,0,0,1,-,-99,-99,
