word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
bacon,feud,21,2.239,0.941,39,1,1,0,0,1,-,-99,-99,
link,crisis,24,1.977,0.652,14,2,1,0,0,1,-,-99,-99,
smother,surgery,18,2.895,1.707,38,3,1,0,1,0,-,-99,-99,
copy,bedroom,29,2.541,1.189,5,4,1,1,0,0, ,13.598,12.002,
banner,glide,29,2.173,0.774,32,5,1,1,1,1, ,1.555,1.042,
remind,foam,26,1.679,0.811,12,6,1,1,1,1, ,1.393,0.83,
pea,bathtub,26,2.053,0.77,37,7,1,1,0,0, ,1.325,0.7,
climax,saucer,26,2.278,1.18,10,8,1,0,1,0,-,-99,-99,
visit,glove,31,1.533,0.355,35,9,1,1,1,1, ,1.464,0.949,
chicken,beet,87,3.161,1.397,20,10,1,1,1,1,beet,3.118,1.725,
fee,chowder,73,2.615,0.771,3,11,1,1,1,1, ,2.138,1.311,
grip,beach,22,2.125,0.763,7,12,1,0,0,1,-,-99,-99,
pork,emperor,23,1.779,0.637,1,13,1,0,0,1,-,-99,-99,
risk,zero,30,1.663,0.661,23,14,1,1,0,0, ,1.415,0.882,
biology,temper,20,1.779,0.444,21,15,1,0,1,0,-,-99,-99,
bleach,ruin,13,1.712,0.605,17,16,1,0,1,0,-,-99,-99,
bullet,walkway,26,2.665,1.713,6,17,1,1,0,0, ,1.165,0.728,
prison,loaf,27,1.723,0.581,27,18,1,1,0,0, ,2.327,1.914,
bias,sirloin,27,1.761,0.53,25,19,1,1,0,0, ,1.473,0.93,
shrink,mafia,19,1.533,0.412,24,20,1,0,1,0,-,-99,-99,
fan,feature,24,2.595,0.332,13,21,1,0,1,0,-,-99,-99,
anger,decay,20,2.001,0.671,2,22,1,0,0,1,-,-99,-99,
collect,loyalty,22,1.699,0.712,16,23,1,0,1,0,-,-99,-99,
port,cinema,24,2.248,0.792,36,24,1,0,0,1,-,-99,-99,
need,faucet,26,3.237,2.389,29,25,1,1,0,0, ,1.532,1.072,
nerve,bumper,30,1.835,0.995,18,26,1,1,0,0, ,1.21,0.727,
caring,skirt,29,2.507,1.555,22,27,1,1,0,0, ,1.134,0.685,
find,clown,24,1.965,0.656,19,28,1,0,1,0,-,-99,-99,
process,joker,18,1.351,0.472,26,29,1,0,1,0,-,-99,-99,
glue,force,18,1.888,0.766,9,30,1,0,0,1,-,-99,-99,
replace,roach,22,1.915,0.7,4,31,1,0,0,1,-,-99,-99,
