word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
want,ascent,12,35.108,33.949,1,1,1,1,0,0,bias,50.756,46.967,
nerve,bumper,35,3.752,1.003,16,2,1,1,0,0,bumper,6.982,3.449,
pea,bathtub,63,6.447,5.088,12,3,1,0,0,1,-,-99,-99,
bias,sirloin,70,7.989,5.165,15,4,1,0,1,0,-,-99,-99,
process,joker,41,17.932,16.782,34,5,1,1,0,0,joker,17.783,14.443,
find,clown,53,12.097,9.88,0,6,1,1,0,0,clown,14.318,10.513,
remind,foam,54,41.487,37.826,4,7,1,1,1,1,figure,26.312,23.336,
calf,annoy,58,4.342,2.575,3,8,1,0,0,1,-,-99,-99,
port,cinema,8,52.815,1.366,18,9,1,1,1,1,replace,31.127,27.975,
link,crisis,79,4.929,3.266,21,10,1,0,0,1,-,-99,-99,
capital,figure,94,6.737,1.516,37,11,1,0,1,0,-,-99,-99,
caring,skirt,21,38.534,36.646,30,12,1,1,1,1,blade,47.207,43.739,
bullet,walkway,68,21.711,20.314,27,13,1,1,1,1,walkway,14.207,11.045,
chicken,beet,85,30.399,18.156,20,14,1,0,1,0,-,-99,-99,
date,laugh,81,20.151,18.45,23,15,1,0,1,0,-,-99,-99,
risk,zero,26,26.152,24.968,22,16,1,1,0,0,link,57.781,55.285,
collect,loyalty,36,45.272,42.77,9,17,1,1,1,1,loyalty,19.832,15.439,
mill,feast,58,3.285,2.304,13,18,1,0,0,1,-,-99,-99,
pork,emperor,57,18.463,1.16,39,19,1,1,1,1,emperor,14.757,11.522,
plant,worm,65,11.574,10.631,7,20,1,0,0,1,-,-99,-99,
prison,loaf,60,62.735,1.247,26,21,1,1,1,1,date,78.54,76.267,
glue,force,59,2.976,2.08,11,22,1,0,0,1,-,-99,-99,
grip,beach,71,2.375,1.184,38,23,1,0,1,0,-,-99,-99,
smother,surgery,63,35.973,34.66,14,24,1,0,0,1,-,-99,-99,
fan,feature,33,23.552,21.785,35,25,1,1,0,0,feature,12.839,10.065,
need,faucet,32,23.847,22.673,5,26,1,1,1,1,right,60.126,57.638,
climax,saucer,60,11.022,1.656,6,27,1,0,0,1,-,-99,-99,
forest,knob,85,35.635,33.779,24,28,1,0,1,0,-,-99,-99,
copy,bedroom,58,13.359,11.344,25,29,1,1,0,0,pork,47.012,44.614,
fee,chowder,81,53.311,51.631,33,30,1,0,1,0,-,-99,-99,
visit,glove,80,11.519,1.959,36,31,1,0,1,0,-,-99,-99,
anger,decay,41,3.208,2.072,8,32,1,1,0,0,decay,32.19,28.758,
replace,roach,71,4.831,1.343,29,33,1,0,1,0,-,-99,-99,
rock,milk,57,11.335,8.473,10,34,1,1,0,0,milk,15.183,3.873,
bleach,ruin,66,2.982,1.375,2,35,1,0,0,1,-,-99,-99,
biology,temper,33,19.879,18.567,17,36,1,1,0,0,temper,21.881,16.385,
knock,otter,59,81.104,78.286,32,37,1,1,1,1,glad,39.32,36.831,
banner,glide,4,34.135,31.715,28,38,1,1,1,1,yard,38.223,35.297,
shrink,mafia,63,9.656,7.911,31,39,1,0,0,1,-,-99,-99,
bacon,feud,95,38.583,2.367,19,40,1,0,1,0,-,-99,-99,
risk,zero,26,26.152,24.968,22,1,2,1,0,0,roach,72.708,69.62,
fan,feature,33,23.552,21.785,35,2,2,1,0,0,feature,11.919,7.591,
copy,bedroom,58,13.359,11.344,25,3,2,1,0,0,mill,34.727,32.501,
replace,roach,71,4.831,1.343,29,4,2,0,1,0,-,-99,-99,
chicken,beet,85,30.399,18.156,20,5,2,0,1,0,-,-99,-99,
smother,surgery,63,35.973,34.66,14,6,2,0,0,1,-,-99,-99,
bacon,feud,95,38.583,2.367,19,7,2,0,1,0,-,-99,-99,
knock,otter,59,81.104,78.286,32,8,2,1,1,1,otter,26.126,23.133,
pea,bathtub,63,6.447,5.088,12,9,2,0,0,1,-,-99,-99,
collect,loyalty,36,45.272,42.77,9,10,2,1,1,1,replace,34.511,31.119,
want,ascent,12,35.108,33.949,1,11,2,1,0,0,boss,29.279,26.782,
bullet,walkway,68,21.711,20.314,27,12,2,1,1,1,walkway,26.255,23.121,
shrink,mafia,63,9.656,7.911,31,13,2,0,0,1,-,-99,-99,
port,cinema,8,52.815,1.366,18,14,2,1,1,1,find,47.773,43.802,
find,clown,53,12.097,9.88,0,15,2,1,0,0,clown,8.896,4.915,
mill,feast,58,3.285,2.304,13,16,2,0,0,1,-,-99,-99,
biology,temper,33,19.879,18.567,17,17,2,1,0,0,temper,19.361,16.801,
link,crisis,79,4.929,3.266,21,18,2,0,0,1,-,-99,-99,
visit,glove,80,11.519,1.959,36,19,2,0,1,0,-,-99,-99,
grip,beach,71,2.375,1.184,38,20,2,0,1,0,-,-99,-99,
process,joker,41,17.932,16.782,34,21,2,1,0,0,joker,23.1,10.177,
calf,annoy,58,4.342,2.575,3,22,2,0,0,1,-,-99,-99,
plant,worm,65,11.574,10.631,7,23,2,0,0,1,-,-99,-99,
anger,decay,41,3.208,2.072,8,24,2,1,0,0,decay,40.775,38.047,
climax,saucer,60,11.022,1.656,6,25,2,0,0,1,-,-99,-99,
pork,emperor,57,18.463,1.16,39,26,2,1,1,1,emperor,16.228,8.031,
fee,chowder,81,53.311,51.631,33,27,2,0,1,0,-,-99,-99,
capital,figure,94,6.737,1.516,37,28,2,0,1,0,-,-99,-99,
