word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
remind,foam,7,3.494,1.176,4,1,1,0,0,1,-,-99,-99,
process,joker,14,2.267,1.331,6,2,1,0,0,1,-,-99,-99,
want,ascent,38,2.831,2.008,21,3,1,1,0,0,COOKIE,6.224,3.655,
link,crisis,30,1.775,1.024,31,4,1,1,0,0,bear,10.787,9.299,
rock,milk,28,2.907,1.899,32,5,1,1,0,0,paper,4.072,1.864,
prison,loaf,23,4.766,3.143,11,6,1,0,1,0,-,-99,-99,
forest,knob,72,2.34,1.405,1,7,1,1,1,1,maple,5.444,3.719,
plant,worm,84,3.197,2.43,17,8,1,1,1,1,shoot,5.688,3.185,
nerve,bumper,73,1.639,0.81,27,9,1,1,1,1,standing,3.861,1.663,
knock,otter,18,2.93,1.858,26,10,1,1,0,0,road,3.653,2.055,
copy,bedroom,18,2.511,1.775,25,11,1,1,0,0,pasta,3.407,1.856,
shrink,mafia,38,1.903,1.016,37,12,1,0,1,0,-,-99,-99,
grip,beach,68,3.783,1.975,16,13,1,0,1,0,-,-99,-99,
bias,sirloin,74,3.044,2.101,36,14,1,1,1,1,port,4.23,2.432,
date,laugh,68,2.197,1.381,10,15,1,0,1,0,-,-99,-99,
climax,saucer,26,2.694,1.779,20,16,1,1,0,0,wait,3.182,1.54,
collect,loyalty,72,3.054,2.278,13,17,1,1,1,1,triangle,6.967,4.483,
visit,glove,2,2.214,1.463,12,18,1,0,0,1,-,-99,-99,
bleach,ruin,15,2.631,1.84,30,19,1,0,0,1,-,-99,-99,
find,clown,68,4.666,3.883,8,20,1,0,1,0,-,-99,-99,
pork,emperor,75,1.822,1.168,29,21,1,1,1,1,can,7.2,5.704,
glue,force,19,3.417,2.392,39,22,1,1,0,0,port,5.606,2.926,
pea,bathtub,19,3.126,2.215,35,23,1,1,0,0,rocket,6.597,4.688,
capital,figure,75,2.05,1.147,28,24,1,1,1,1,fork,4.351,2.618,
caring,skirt,34,7.439,6.092,34,25,1,0,1,0,-,-99,-99,
port,cinema,13,2.207,1.391,33,26,1,0,0,1,-,-99,-99,
risk,zero,19,2.111,1.368,19,27,1,1,0,0,castle,7.082,4.92,
calf,annoy,24,7.394,6.33,23,28,1,1,0,0,goat,4.469,2.85,
fee,chowder,11,2.711,1.91,5,29,1,0,0,1,-,-99,-99,
bacon,feud,64,2.878,1.864,2,30,1,0,1,0,-,-99,-99,
need,faucet,62,2.542,1.752,14,31,1,0,1,0,-,-99,-99,
bullet,walkway,100,4.87,3.967,15,32,1,1,1,1,walkway,4.698,1.783,
anger,decay,65,1.766,0.906,0,33,1,0,1,0,-,-99,-99,
replace,roach,13,2.798,1.599,24,34,1,0,0,1,-,-99,-99,
smother,surgery,8,3.294,2.12,18,35,1,0,0,1,-,-99,-99,
