word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
pork,emperor,1,1,-99,-99,-99,-99,-99,
anger,decay,2,1,-99,-99,-99,-99,-99,
bacon,feud,3,1,-99,-99,-99,-99,-99,
port,cinema,4,1,-99,-99,-99,-99,-99,
bleach,ruin,5,1,-99,-99,-99,-99,-99,
calf,annoy,6,1,-99,-99,-99,-99,-99,
banner,glide,7,1,-99,-99,-99,-99,-99,
shrink,mafia,8,1,-99,-99,-99,-99,-99,
collect,loyalty,9,1,-99,-99,-99,-99,-99,
prison,loaf,10,1,-99,-99,-99,-99,-99,
link,crisis,11,1,-99,-99,-99,-99,-99,
grip,beach,12,1,-99,-99,-99,-99,-99,
bullet,walkway,13,1,-99,-99,-99,-99,-99,
remind,foam,14,1,-99,-99,-99,-99,-99,
fee,chowder,15,1,-99,-99,-99,-99,-99,
chicken,beet,16,1,-99,-99,-99,-99,-99,
need,faucet,17,1,-99,-99,-99,-99,-99,
glue,force,18,1,-99,-99,-99,-99,-99,
biology,temper,19,1,-99,-99,-99,-99,-99,
want,ascent,20,1,-99,-99,-99,-99,-99,
knock,otter,21,1,-99,-99,-99,-99,-99,
pea,bathtub,22,1,-99,-99,-99,-99,-99,
climax,saucer,23,1,-99,-99,-99,-99,-99,
replace,roach,24,1,-99,-99,-99,-99,-99,
caring,skirt,25,1,-99,-99,-99,-99,-99,
visit,glove,26,1,-99,-99,-99,-99,-99,
capital,figure,27,1,-99,-99,-99,-99,-99,
mill,feast,28,1,-99,-99,-99,-99,-99,
process,joker,29,1,-99,-99,-99,-99,-99,
find,clown,30,1,-99,-99,-99,-99,-99,
copy,bedroom,31,1,-99,-99,-99,-99,-99,
rock,milk,32,1,-99,-99,-99,-99,-99,
fan,feature,33,1,-99,-99,-99,-99,-99,
risk,zero,34,1,-99,-99,-99,-99,-99,
plant,worm,35,1,-99,-99,-99,-99,-99,
smother,surgery,36,1,-99,-99,-99,-99,-99,
bias,sirloin,37,1,-99,-99,-99,-99,-99,
nerve,bumper,38,1,-99,-99,-99,-99,-99,
date,laugh,39,1,-99,-99,-99,-99,-99,
forest,knob,40,1,-99,-99,-99,-99,-99,
pea,bathtub,1,2,-99,-99,-99,-99,-99,
knock,otter,2,2,-99,-99,-99,-99,-99,
prison,loaf,3,2,-99,-99,-99,-99,-99,
replace,roach,4,2,-99,-99,-99,-99,-99,
bacon,feud,5,2,-99,-99,-99,-99,-99,
risk,zero,6,2,-99,-99,-99,-99,-99,
mill,feast,7,2,-99,-99,-99,-99,-99,
find,clown,8,2,-99,-99,-99,-99,-99,
glue,force,9,2,-99,-99,-99,-99,-99,
smother,surgery,10,2,-99,-99,-99,-99,-99,
caring,skirt,11,2,-99,-99,-99,-99,-99,
climax,saucer,12,2,-99,-99,-99,-99,-99,
copy,bedroom,13,2,-99,-99,-99,-99,-99,
bullet,walkway,14,2,-99,-99,-99,-99,-99,
fan,feature,15,2,-99,-99,-99,-99,-99,
collect,loyalty,16,2,-99,-99,-99,-99,-99,
chicken,beet,17,2,-99,-99,-99,-99,-99,
port,cinema,18,2,-99,-99,-99,-99,-99,
bias,sirloin,19,2,-99,-99,-99,-99,-99,
remind,foam,20,2,-99,-99,-99,-99,-99,
visit,glove,21,2,-99,-99,-99,-99,-99,
want,ascent,22,2,-99,-99,-99,-99,-99,
date,laugh,23,2,-99,-99,-99,-99,-99,
anger,decay,24,2,-99,-99,-99,-99,-99,
fee,chowder,25,2,-99,-99,-99,-99,-99,
nerve,bumper,26,2,-99,-99,-99,-99,-99,
biology,temper,27,2,-99,-99,-99,-99,-99,
link,crisis,28,2,-99,-99,-99,-99,-99,
need,faucet,29,2,-99,-99,-99,-99,-99,
process,joker,30,2,-99,-99,-99,-99,-99,
grip,beach,31,2,-99,-99,-99,-99,-99,
plant,worm,32,2,-99,-99,-99,-99,-99,
banner,glide,33,2,-99,-99,-99,-99,-99,
rock,milk,34,2,-99,-99,-99,-99,-99,
capital,figure,35,2,-99,-99,-99,-99,-99,
pork,emperor,36,2,-99,-99,-99,-99,-99,
