word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
date,laugh,1,1,-99,-99,-99,-99,-99,
collect,loyalty,2,1,-99,-99,-99,-99,-99,
glue,force,3,1,-99,-99,-99,-99,-99,
chicken,beet,4,1,-99,-99,-99,-99,-99,
fee,chowder,5,1,-99,-99,-99,-99,-99,
biology,temper,6,1,-99,-99,-99,-99,-99,
anger,decay,7,1,-99,-99,-99,-99,-99,
process,joker,8,1,-99,-99,-99,-99,-99,
pea,bathtub,9,1,-99,-99,-99,-99,-99,
risk,zero,10,1,-99,-99,-99,-99,-99,
grip,beach,11,1,-99,-99,-99,-99,-99,
nerve,bumper,12,1,-99,-99,-99,-99,-99,
fan,feature,13,1,-99,-99,-99,-99,-99,
bullet,walkway,14,1,-99,-99,-99,-99,-99,
replace,roach,15,1,-99,-99,-99,-99,-99,
pork,emperor,16,1,-99,-99,-99,-99,-99,
link,crisis,17,1,-99,-99,-99,-99,-99,
need,faucet,18,1,-99,-99,-99,-99,-99,
bleach,ruin,19,1,-99,-99,-99,-99,-99,
plant,worm,20,1,-99,-99,-99,-99,-99,
banner,glide,21,1,-99,-99,-99,-99,-99,
caring,skirt,22,1,-99,-99,-99,-99,-99,
capital,figure,23,1,-99,-99,-99,-99,-99,
bias,sirloin,24,1,-99,-99,-99,-99,-99,
rock,milk,25,1,-99,-99,-99,-99,-99,
prison,loaf,26,1,-99,-99,-99,-99,-99,
port,cinema,27,1,-99,-99,-99,-99,-99,
calf,annoy,28,1,-99,-99,-99,-99,-99,
shrink,mafia,29,1,-99,-99,-99,-99,-99,
climax,saucer,30,1,-99,-99,-99,-99,-99,
smother,surgery,31,1,-99,-99,-99,-99,-99,
remind,foam,32,1,-99,-99,-99,-99,-99,
visit,glove,33,1,-99,-99,-99,-99,-99,
want,ascent,34,1,-99,-99,-99,-99,-99,
mill,feast,35,1,-99,-99,-99,-99,-99,
forest,knob,36,1,-99,-99,-99,-99,-99,
copy,bedroom,37,1,-99,-99,-99,-99,-99,
bacon,feud,38,1,-99,-99,-99,-99,-99,
knock,otter,39,1,-99,-99,-99,-99,-99,
find,clown,40,1,-99,-99,-99,-99,-99,
want,ascent,1,2,-99,-99,-99,-99,-99,
anger,decay,2,2,-99,-99,-99,-99,-99,
rock,milk,3,2,-99,-99,-99,-99,-99,
risk,zero,4,2,-99,-99,-99,-99,-99,
pork,emperor,5,2,-99,-99,-99,-99,-99,
collect,loyalty,6,2,-99,-99,-99,-99,-99,
copy,bedroom,7,2,-99,-99,-99,-99,-99,
prison,loaf,8,2,-99,-99,-99,-99,-99,
forest,knob,9,2,-99,-99,-99,-99,-99,
climax,saucer,10,2,-99,-99,-99,-99,-99,
nerve,bumper,11,2,-99,-99,-99,-99,-99,
find,clown,12,2,-99,-99,-99,-99,-99,
pea,bathtub,13,2,-99,-99,-99,-99,-99,
banner,glide,14,2,-99,-99,-99,-99,-99,
link,crisis,15,2,-99,-99,-99,-99,-99,
fan,feature,16,2,-99,-99,-99,-99,-99,
smother,surgery,17,2,-99,-99,-99,-99,-99,
mill,feast,18,2,-99,-99,-99,-99,-99,
capital,figure,19,2,-99,-99,-99,-99,-99,
glue,force,20,2,-99,-99,-99,-99,-99,
fee,chowder,21,2,-99,-99,-99,-99,-99,
biology,temper,22,2,-99,-99,-99,-99,-99,
shrink,mafia,23,2,-99,-99,-99,-99,-99,
caring,skirt,24,2,-99,-99,-99,-99,-99,
need,faucet,25,2,-99,-99,-99,-99,-99,
plant,worm,26,2,-99,-99,-99,-99,-99,
bleach,ruin,27,2,-99,-99,-99,-99,-99,
date,laugh,28,2,-99,-99,-99,-99,-99,
remind,foam,29,2,-99,-99,-99,-99,-99,
grip,beach,30,2,-99,-99,-99,-99,-99,
bias,sirloin,31,2,-99,-99,-99,-99,-99,
bacon,feud,32,2,-99,-99,-99,-99,-99,
port,cinema,33,2,-99,-99,-99,-99,-99,
process,joker,34,2,-99,-99,-99,-99,-99,
knock,otter,35,2,-99,-99,-99,-99,-99,
chicken,beet,36,2,-99,-99,-99,-99,-99,
calf,annoy,37,2,-99,-99,-99,-99,-99,
bullet,walkway,38,2,-99,-99,-99,-99,-99,
visit,glove,39,2,-99,-99,-99,-99,-99,
replace,roach,40,2,-99,-99,-99,-99,-99,
need,faucet,1,3,29,4.092,2.332,1,4.675,
shrink,mafia,2,3,62,5.235,3.757,0,2.233,
mill,feast,3,3,28,4.176,2.357,0,1.708,
forest,knob,4,3,26,2.616,1.208,0,1.348,
fee,chowder,5,3,18,2.148,0.756,0,1.964,
want,ascent,6,3,11,3.69,1.195,0,1.23,
nerve,bumper,7,3,71,4.615,2.102,1,1.452,
banner,glide,8,3,33,4.004,2.761,0,1.943,
link,crisis,9,3,26,1.913,0.901,0,1.011,
bullet,walkway,10,3,16,1.878,0.889,0,0.865,
risk,zero,11,3,1,1.971,0.974,0,0.916,
grip,beach,12,3,1,1.829,0.817,0,0.928,
capital,figure,13,3,27,1.414,0.534,0,1.726,
bias,sirloin,14,3,14,2.087,1.147,0,0.959,
glue,force,15,3,67,4.363,1.015,0,1.223,
bleach,ruin,16,3,19,2.242,1.359,0,1.611,
bacon,feud,17,3,24,2.66,1.441,0,72.557,
climax,saucer,18,3,13,2.191,1.177,0,30.303,
port,cinema,19,3,18,3.406,1.56,0,1.634,
visit,glove,20,3,7,3.175,1.672,0,1.952,
collect,loyalty,21,3,33,3.394,2.248,0,2.111,
anger,decay,22,3,15,93.935,1.488,0,1.411,
pea,bathtub,23,3,14,3.287,2.429,1,1.337,
fan,feature,24,3,35,3.139,2.053,1,0.951,
remind,foam,25,3,22,1.438,0.609,1,0.886,
replace,roach,26,3,55,1.686,0.709,1,0.828,
process,joker,27,3,32,2.33,0.998,1,0.89,
smother,surgery,28,3,32,1.927,0.974,1,1.11,
calf,annoy,29,3,32,14.539,13.138,1,2.173,
find,clown,30,3,25,11.363,9.301,1,7.684,
prison,loaf,31,3,26,1.609,0.88,1,0.885,
biology,temper,32,3,24,1.577,0.723,1,1.379,
rock,milk,33,3,13,1.854,0.976,1,1.488,
caring,skirt,34,3,8,2.675,0.955,1,1.207,
pork,emperor,35,3,35,2.199,1.098,1,1.718,
chicken,beet,36,3,64,2.039,0.978,1,0.817,
knock,otter,37,3,34,1.467,0.586,1,2.39,
copy,bedroom,38,3,17,1.829,1.011,1,0.841,
plant,worm,39,3,14,1.855,0.903,1,6.976,
date,laugh,40,3,16,2.014,0.938,1,15.224,

