word1,word2,jol,jolrt,jolrtfirst,jolrank,trial,list,praccond,choice,hondis,response,rt,rtfirst,
anger,decay,8,2.585,1.603,4,1,1,0,0,1,-,-99,-99,
find,clown,7,2.184,1.185,7,2,1,0,0,1,-,-99,-99,
forest,knob,61,5.214,3.807,16,3,1,1,1,1,knob,14.34,7.541,
glue,force,1,2.968,1.727,1,4,1,1,0,0,?,25.006,23.785,
fan,feature,58,3.973,2.62,25,5,1,1,1,1,feature ,7.217,1.979,
pork,emperor,64,3.864,2.287,23,6,1,0,1,0,-,-99,-99,
plant,worm,76,3.237,2.138,14,7,1,0,1,0,-,-99,-99,
process,joker,7,3.297,2.04,31,8,1,1,0,0,?,10.438,9.414,
shrink,mafia,60,2.661,1.731,19,9,1,1,1,1,mafia,6.6,2.208,
biology,temper,14,6.342,3.92,29,10,1,0,0,1,-,-99,-99,
need,faucet,6,1.768,0.984,18,11,1,1,0,0,?,9.213,8.171,
remind,foam,9,2.953,1.878,33,12,1,0,0,1,-,-99,-99,
collect,loyalty,8,3.354,1.987,12,13,1,0,0,1,-,-99,-99,
calf,annoy,6,2.263,1.134,10,14,1,1,0,0,annoy,6.24,2.293,
copy,bedroom,61,7.728,2.817,15,15,1,1,1,1,bedroom,11.191,5.781,
replace,roach,4,2.802,1.769,36,16,1,1,0,0,?,9.709,8.473,
pea,bathtub,59,2.954,2.124,24,17,1,0,0,1,-,-99,-99,
grip,beach,43,4.209,3.026,38,18,1,1,1,1,beach,9.64,2.42,
chicken,beet,64,2.67,1.673,0,19,1,0,1,0,-,-99,-99,
mill,feast,61,4.181,2.902,35,20,1,1,1,1,feast,5.598,2.032,
fee,chowder,2,3.951,2.198,28,21,1,1,0,0,?,5.781,4.851,
banner,glide,58,3.183,1.808,13,22,1,1,1,1,glide,7.044,2.209,
visit,glove,6,2.822,1.922,32,23,1,1,0,0,?,8.647,7.683,
nerve,bumper,8,2.113,1.163,17,24,1,0,0,1,-,-99,-99,
capital,figure,6,2.871,1.479,6,25,1,1,0,0,?,27.852,26.912,
knock,otter,63,2.535,1.509,8,26,1,0,1,0,-,-99,-99,
smother,surgery,10,2.617,1.302,3,27,1,0,0,1,-,-99,-99,
rock,milk,60,2.708,1.57,9,28,1,1,1,1,milk,5.449,2.54,
prison,loaf,66,3.291,2.015,39,29,1,0,1,0,-,-99,-99,
climax,saucer,61,2.627,1.429,30,30,1,0,1,0,-,-99,-99,
caring,skirt,61,4.587,3.535,26,31,1,0,1,0,-,-99,-99,
bias,sirloin,64,3.183,2.185,37,32,1,0,1,0,-,-99,-99,
bleach,ruin,57,3.009,2.032,20,33,1,1,1,1,ruin,5.851,2.305,
risk,zero,7,2.794,1.488,22,34,1,1,0,0,?,7.866,6.777,
bacon,feud,16,14.845,8.655,27,35,1,0,0,1,-,-99,-99,
port,cinema,9,3.306,1.535,2,36,1,0,0,1,-,-99,-99,
want,ascent,5,2.55,1.226,11,37,1,1,0,0,?,6.874,5.617,
link,crisis,60,6.315,4.954,21,38,1,1,1,1,crisis,7.675,2.626,
bullet,walkway,67,3.199,2.117,34,39,1,0,1,0,-,-99,-99,
date,laugh,67,3.2,2.124,5,40,1,0,1,0,-,-99,-99,
plant,worm,76,3.237,2.138,14,1,2,0,1,0,-,-99,-99,
bleach,ruin,57,3.009,2.032,20,2,2,1,1,1,ruin,5.352,2.256,
find,clown,7,2.184,1.185,7,3,2,0,0,1,-,-99,-99,
pork,emperor,64,3.864,2.287,23,4,2,0,1,0,-,-99,-99,
visit,glove,6,2.822,1.922,32,5,2,1,0,0,?,10.751,9.779,
pea,bathtub,59,2.954,2.124,24,6,2,0,0,1,-,-99,-99,
calf,annoy,6,2.263,1.134,10,7,2,1,0,0,annoy,6.125,2.233,
need,faucet,6,1.768,0.984,18,8,2,1,0,0,?,5.619,4.736,
remind,foam,9,2.953,1.878,33,9,2,0,0,1,-,-99,-99,
nerve,bumper,8,2.113,1.163,17,10,2,0,0,1,-,-99,-99,
smother,surgery,10,2.617,1.302,3,11,2,0,0,1,-,-99,-99,
knock,otter,63,2.535,1.509,8,12,2,0,1,0,-,-99,-99,
caring,skirt,61,4.587,3.535,26,13,2,0,1,0,-,-99,-99,
bullet,walkway,67,3.199,2.117,34,14,2,0,1,0,-,-99,-99,
replace,roach,4,2.802,1.769,36,15,2,1,0,0,?,10.424,5.253,
process,joker,7,3.297,2.04,31,16,2,1,0,0,?,4.358,3.343,
want,ascent,5,2.55,1.226,11,17,2,1,0,0,?,3.427,2.454,
port,cinema,9,3.306,1.535,2,18,2,0,0,1,-,-99,-99,
glue,force,1,2.968,1.727,1,19,2,1,0,0,?,4.574,3.688,
shrink,mafia,60,2.661,1.731,19,20,2,1,1,1,mafia,6.679,2.366,
collect,loyalty,8,3.354,1.987,12,21,2,0,0,1,-,-99,-99,
biology,temper,14,6.342,3.92,29,22,2,0,0,1,-,-99,-99,
fan,feature,58,3.973,2.62,25,23,2,1,1,1,feature,8.431,2.49,
forest,knob,61,5.214,3.807,16,24,2,1,1,1,knob,5.858,2.584,
rock,milk,60,2.708,1.57,9,25,2,1,1,1,milk,4.494,1.694,
bias,sirloin,64,3.183,2.185,37,26,2,0,1,0,-,-99,-99,
fee,chowder,2,3.951,2.198,28,27,2,1,0,0,?,4.567,3.191,
chicken,beet,64,2.67,1.673,0,28,2,0,1,0,-,-99,-99,
banner,glide,58,3.183,1.808,13,29,2,1,1,1,glide,6.675,1.998,
grip,beach,43,4.209,3.026,38,30,2,1,1,1,beach,6.174,2.04,
mill,feast,61,4.181,2.902,35,31,2,1,1,1,feast,6.865,3.117,
copy,bedroom,61,7.728,2.817,15,32,2,1,1,1,?,4.512,3.394,
link,crisis,60,6.315,4.954,21,33,2,1,1,1,crisis,6.951,2.103,
date,laugh,67,3.2,2.124,5,34,2,0,1,0,-,-99,-99,
climax,saucer,61,2.627,1.429,30,35,2,0,1,0,-,-99,-99,
prison,loaf,66,3.291,2.015,39,36,2,0,1,0,-,-99,-99,
risk,zero,7,2.794,1.488,22,37,2,1,0,0,?,8.9,7.935,
capital,figure,6,2.871,1.479,6,38,2,1,0,0,?,6.343,5.308,
anger,decay,8,2.585,1.603,4,39,2,0,0,1,-,-99,-99,
bacon,feud,16,14.845,8.655,27,40,2,0,0,1,-,-99,-99,
knock,otter,63,2.535,1.509,8,1,3,0,1,0,-,-99,-99,
find,clown,7,2.184,1.185,7,2,3,0,0,1,-,-99,-99,
caring,skirt,61,4.587,3.535,26,3,3,0,1,0,-,-99,-99,
chicken,beet,64,2.67,1.673,0,4,3,0,1,0,-,-99,-99,
biology,temper,14,6.342,3.92,29,5,3,0,0,1,-,-99,-99,
pea,bathtub,59,2.954,2.124,24,6,3,0,0,1,-,-99,-99,
visit,glove,6,2.822,1.922,32,7,3,1,0,0,?,6.639,5.493,
remind,foam,9,2.953,1.878,33,8,3,0,0,1,-,-99,-99,
bias,sirloin,64,3.183,2.185,37,9,3,0,1,0,-,-99,-99,
forest,knob,61,5.214,3.807,16,10,3,1,1,1,knob,5.397,2.221,
smother,surgery,10,2.617,1.302,3,11,3,0,0,1,-,-99,-99,
bullet,walkway,67,3.199,2.117,34,12,3,0,1,0,-,-99,-99,
copy,bedroom,61,7.728,2.817,15,13,3,1,1,1,?,4.438,3.489,
anger,decay,8,2.585,1.603,4,14,3,0,0,1,-,-99,-99,
link,crisis,60,6.315,4.954,21,15,3,1,1,1,?,5.209,4.138,
