word1,word2,trial,list,jol,jolrt,jolrtfirst,choice,choicert,
mill,feast,1,1,-99,-99,-99,-99,-99,
fan,feature,2,1,-99,-99,-99,-99,-99,
plant,worm,3,1,-99,-99,-99,-99,-99,
find,clown,4,1,-99,-99,-99,-99,-99,
forest,knob,5,1,-99,-99,-99,-99,-99,
nerve,bumper,6,1,-99,-99,-99,-99,-99,
pea,bathtub,7,1,-99,-99,-99,-99,-99,
chicken,beet,8,1,-99,-99,-99,-99,-99,
biology,temper,9,1,-99,-99,-99,-99,-99,
knock,otter,10,1,-99,-99,-99,-99,-99,
smother,surgery,11,1,-99,-99,-99,-99,-99,
remind,foam,12,1,-99,-99,-99,-99,-99,
calf,annoy,13,1,-99,-99,-99,-99,-99,
collect,loyalty,14,1,-99,-99,-99,-99,-99,
capital,figure,15,1,-99,-99,-99,-99,-99,
bias,sirloin,16,1,-99,-99,-99,-99,-99,
shrink,mafia,17,1,-99,-99,-99,-99,-99,
need,faucet,18,1,-99,-99,-99,-99,-99,
process,joker,19,1,-99,-99,-99,-99,-99,
date,laugh,20,1,-99,-99,-99,-99,-99,
visit,glove,21,1,-99,-99,-99,-99,-99,
prison,loaf,22,1,-99,-99,-99,-99,-99,
bacon,feud,23,1,-99,-99,-99,-99,-99,
risk,zero,24,1,-99,-99,-99,-99,-99,
bullet,walkway,25,1,-99,-99,-99,-99,-99,
caring,skirt,26,1,-99,-99,-99,-99,-99,
pork,emperor,27,1,-99,-99,-99,-99,-99,
copy,bedroom,28,1,-99,-99,-99,-99,-99,
climax,saucer,29,1,-99,-99,-99,-99,-99,
port,cinema,30,1,-99,-99,-99,-99,-99,
fee,chowder,31,1,-99,-99,-99,-99,-99,
banner,glide,32,1,-99,-99,-99,-99,-99,
bleach,ruin,33,1,-99,-99,-99,-99,-99,
glue,force,34,1,-99,-99,-99,-99,-99,
grip,beach,35,1,-99,-99,-99,-99,-99,
rock,milk,36,1,-99,-99,-99,-99,-99,
want,ascent,37,1,-99,-99,-99,-99,-99,
link,crisis,38,1,-99,-99,-99,-99,-99,
replace,roach,39,1,-99,-99,-99,-99,-99,
anger,decay,40,1,-99,-99,-99,-99,-99,
climax,saucer,1,2,-99,-99,-99,-99,-99,
nerve,bumper,2,2,-99,-99,-99,-99,-99,
calf,annoy,3,2,-99,-99,-99,-99,-99,
collect,loyalty,4,2,-99,-99,-99,-99,-99,
bleach,ruin,5,2,-99,-99,-99,-99,-99,
capital,figure,6,2,-99,-99,-99,-99,-99,
risk,zero,7,2,-99,-99,-99,-99,-99,
rock,milk,8,2,-99,-99,-99,-99,-99,
grip,beach,9,2,-99,-99,-99,-99,-99,
prison,loaf,10,2,-99,-99,-99,-99,-99,
process,joker,11,2,-99,-99,-99,-99,-99,
fan,feature,12,2,-99,-99,-99,-99,-99,
bacon,feud,13,2,-99,-99,-99,-99,-99,
shrink,mafia,14,2,-99,-99,-99,-99,-99,
replace,roach,15,2,-99,-99,-99,-99,-99,
want,ascent,16,2,-99,-99,-99,-99,-99,
date,laugh,17,2,-99,-99,-99,-99,-99,
link,crisis,18,2,-99,-99,-99,-99,-99,
bullet,walkway,19,2,-99,-99,-99,-99,-99,
glue,force,20,2,-99,-99,-99,-99,-99,
chicken,beet,21,2,-99,-99,-99,-99,-99,
forest,knob,22,2,-99,-99,-99,-99,-99,
find,clown,23,2,-99,-99,-99,-99,-99,
need,faucet,24,2,-99,-99,-99,-99,-99,
remind,foam,25,2,-99,-99,-99,-99,-99,
knock,otter,26,2,-99,-99,-99,-99,-99,
plant,worm,27,2,-99,-99,-99,-99,-99,
pea,bathtub,28,2,-99,-99,-99,-99,-99,
visit,glove,29,2,-99,-99,-99,-99,-99,
bias,sirloin,30,2,-99,-99,-99,-99,-99,
copy,bedroom,31,2,-99,-99,-99,-99,-99,
mill,feast,32,2,-99,-99,-99,-99,-99,
biology,temper,33,2,-99,-99,-99,-99,-99,
port,cinema,34,2,-99,-99,-99,-99,-99,
smother,surgery,35,2,-99,-99,-99,-99,-99,
caring,skirt,36,2,-99,-99,-99,-99,-99,
fee,chowder,37,2,-99,-99,-99,-99,-99,
pork,emperor,38,2,-99,-99,-99,-99,-99,
banner,glide,39,2,-99,-99,-99,-99,-99,
anger,decay,40,2,-99,-99,-99,-99,-99,
shrink,mafia,1,3,2,5.294,2.268,0,7.395,
pea,bathtub,2,3,28,8.851,4.48,0,2.216,
process,joker,3,3,24,4.067,2.788,0,0.941,
fee,chowder,4,3,24,4.22,2.508,0,0.621,
glue,force,5,3,100,4.636,2.025,1,0.708,
calf,annoy,6,3,37,8.043,4.525,0,0.594,
mill,feast,7,3,22,4.403,3.202,0,1.001,
replace,roach,8,3,26,4.914,2.093,0,1.043,
chicken,beet,9,3,20,3.431,2.372,0,0.619,
want,ascent,10,3,20,2.979,1.26,0,0.625,
biology,temper,11,3,8,2.376,1.218,0,0.886,
collect,loyalty,12,3,19,5.278,4.198,0,1.406,
