word1,word2,jol,jolrt,jolrtfirst,trial,list,
anger,decay,-99,-99,-99,1,1,
shrink,mafia,-99,-99,-99,2,1,
chicken,beet,-99,-99,-99,3,1,
visit,glove,-99,-99,-99,4,1,
nerve,bumper,-99,-99,-99,5,1,
bullet,walkway,-99,-99,-99,6,1,
collect,loyalty,-99,-99,-99,7,1,
grip,beach,-99,-99,-99,8,1,
bleach,ruin,-99,-99,-99,9,1,
rock,milk,-99,-99,-99,10,1,
glue,force,-99,-99,-99,11,1,
remind,foam,-99,-99,-99,12,1,
biology,temper,-99,-99,-99,13,1,
pork,emperor,-99,-99,-99,14,1,
bacon,feud,-99,-99,-99,15,1,
link,crisis,-99,-99,-99,16,1,
need,faucet,-99,-99,-99,17,1,
copy,bedroom,-99,-99,-99,18,1,
smother,surgery,-99,-99,-99,19,1,
fee,chowder,-99,-99,-99,20,1,
mill,feast,-99,-99,-99,21,1,
process,joker,-99,-99,-99,22,1,
find,clown,-99,-99,-99,23,1,
forest,knob,-99,-99,-99,24,1,
pea,bathtub,-99,-99,-99,25,1,
port,cinema,-99,-99,-99,26,1,
knock,otter,-99,-99,-99,27,1,
risk,zero,-99,-99,-99,28,1,
fan,feature,-99,-99,-99,29,1,
caring,skirt,-99,-99,-99,30,1,
plant,worm,-99,-99,-99,31,1,
date,laugh,-99,-99,-99,32,1,
prison,loaf,-99,-99,-99,33,1,
calf,annoy,-99,-99,-99,34,1,
bias,sirloin,-99,-99,-99,35,1,
climax,saucer,-99,-99,-99,36,1,
want,ascent,-99,-99,-99,37,1,
capital,figure,-99,-99,-99,38,1,
banner,glide,-99,-99,-99,39,1,
replace,roach,-99,-99,-99,40,1,
find,clown,-99,-99,-99,1,2,
mill,feast,-99,-99,-99,2,2,
grip,beach,-99,-99,-99,3,2,
nerve,bumper,-99,-99,-99,4,2,
capital,figure,-99,-99,-99,5,2,
bias,sirloin,-99,-99,-99,6,2,
bleach,ruin,-99,-99,-99,7,2,
biology,temper,-99,-99,-99,8,2,
port,cinema,-99,-99,-99,9,2,
prison,loaf,-99,-99,-99,10,2,
plant,worm,-99,-99,-99,11,2,
rock,milk,-99,-99,-99,12,2,
link,crisis,-99,-99,-99,13,2,
smother,surgery,-99,-99,-99,14,2,
fee,chowder,-99,-99,-99,15,2,
pork,emperor,-99,-99,-99,16,2,
chicken,beet,-99,-99,-99,17,2,
knock,otter,-99,-99,-99,18,2,
visit,glove,-99,-99,-99,19,2,
anger,decay,-99,-99,-99,20,2,
copy,bedroom,-99,-99,-99,21,2,
bullet,walkway,-99,-99,-99,22,2,
remind,foam,-99,-99,-99,23,2,
glue,force,-99,-99,-99,24,2,
bacon,feud,-99,-99,-99,25,2,
calf,annoy,-99,-99,-99,26,2,
forest,knob,-99,-99,-99,27,2,
collect,loyalty,-99,-99,-99,28,2,
shrink,mafia,-99,-99,-99,29,2,
banner,glide,-99,-99,-99,30,2,
process,joker,-99,-99,-99,31,2,
need,faucet,-99,-99,-99,32,2,
risk,zero,-99,-99,-99,33,2,
fan,feature,-99,-99,-99,34,2,
want,ascent,-99,-99,-99,35,2,
date,laugh,-99,-99,-99,36,2,
caring,skirt,-99,-99,-99,37,2,
replace,roach,-99,-99,-99,38,2,
pea,bathtub,-99,-99,-99,39,2,
climax,saucer,-99,-99,-99,40,2,
prison,loaf,67,7.085,4.271,1,3,
mill,feast,16,3.108,1.111,2,3,
forest,knob,82,2.25,1.066,3,3,
bias,sirloin,29,2.004,0.86,4,3,
biology,temper,55,2.34,0.9,5,3,
shrink,mafia,39,2.676,1.127,6,3,
smother,surgery,41,2.252,1.333,7,3,
bacon,feud,77,2.218,0.864,8,3,
copy,bedroom,40,1.773,0.895,9,3,
want,ascent,37,2.835,1.004,10,3,
pea,bathtub,66,2.213,1.154,11,3,
knock,otter,64,3.554,1.893,12,3,
fan,feature,65,2.007,0.949,13,3,
nerve,bumper,65,1.858,0.944,14,3,
remind,foam,30,1.963,1.096,15,3,
link,crisis,32,1.758,0.956,16,3,
anger,decay,70,2.001,1.047,17,3,
calf,annoy,65,2.31,1.06,18,3,
risk,zero,40,2.381,1.031,19,3,
rock,milk,60,1.933,0.971,20,3,
plant,worm,66,2.012,1.048,21,3,
date,laugh,71,2.348,1.025,22,3,
replace,roach,73,2.035,1.061,23,3,
bullet,walkway,79,2.355,0.893,24,3,
climax,saucer,65,2.162,1.223,25,3,
pork,emperor,71,1.82,0.894,26,3,
capital,figure,35,1.923,0.986,27,3,
bleach,ruin,68,9.641,8.868,28,3,
banner,glide,64,1.885,0.969,29,3,
collect,loyalty,36,1.542,0.877,30,3,
visit,glove,79,1.609,0.959,31,3,
port,cinema,89,1.583,0.916,32,3,
process,joker,64,1.948,1.237,33,3,
caring,skirt,61,1.682,1.064,34,3,
find,clown,38,1.646,0.867,35,3,
chicken,beet,67,1.614,0.664,36,3,
need,faucet,36,1.965,1.296,37,3,
glue,force,63,1.908,1.214,38,3,
fee,chowder,58,1.678,1.026,39,3,
grip,beach,68,2.714,1.655,40,3,

