word1,word2,jol,jolrt,jolrtfirst,trial,list,
knock,otter,-99,-99,-99,1,1,
need,faucet,-99,-99,-99,2,1,
caring,skirt,-99,-99,-99,3,1,
climax,saucer,-99,-99,-99,4,1,
process,joker,-99,-99,-99,5,1,
rock,milk,-99,-99,-99,6,1,
bleach,ruin,-99,-99,-99,7,1,
prison,loaf,-99,-99,-99,8,1,
calf,annoy,-99,-99,-99,9,1,
fan,feature,-99,-99,-99,10,1,
find,clown,-99,-99,-99,11,1,
port,cinema,-99,-99,-99,12,1,
fee,chowder,-99,-99,-99,13,1,
visit,glove,-99,-99,-99,14,1,
biology,temper,-99,-99,-99,15,1,
remind,foam,-99,-99,-99,16,1,
bacon,feud,-99,-99,-99,17,1,
banner,glide,-99,-99,-99,18,1,
shrink,mafia,-99,-99,-99,19,1,
copy,bedroom,-99,-99,-99,20,1,
anger,decay,-99,-99,-99,21,1,
plant,worm,-99,-99,-99,22,1,
glue,force,-99,-99,-99,23,1,
forest,knob,-99,-99,-99,24,1,
collect,loyalty,-99,-99,-99,25,1,
risk,zero,-99,-99,-99,26,1,
pea,bathtub,-99,-99,-99,27,1,
date,laugh,-99,-99,-99,28,1,
bullet,walkway,-99,-99,-99,29,1,
capital,figure,-99,-99,-99,30,1,
pork,emperor,-99,-99,-99,31,1,
smother,surgery,-99,-99,-99,32,1,
mill,feast,-99,-99,-99,33,1,
want,ascent,-99,-99,-99,34,1,
bias,sirloin,-99,-99,-99,35,1,
chicken,beet,-99,-99,-99,36,1,
grip,beach,-99,-99,-99,37,1,
nerve,bumper,-99,-99,-99,38,1,
link,crisis,-99,-99,-99,39,1,
replace,roach,-99,-99,-99,40,1,
anger,decay,-99,-99,-99,1,2,
fee,chowder,-99,-99,-99,2,2,
banner,glide,-99,-99,-99,3,2,
port,cinema,-99,-99,-99,4,2,
rock,milk,-99,-99,-99,5,2,
find,clown,-99,-99,-99,6,2,
collect,loyalty,-99,-99,-99,7,2,
need,faucet,-99,-99,-99,8,2,
bias,sirloin,-99,-99,-99,9,2,
calf,annoy,-99,-99,-99,10,2,
climax,saucer,-99,-99,-99,11,2,
link,crisis,-99,-99,-99,12,2,
bacon,feud,-99,-99,-99,13,2,
want,ascent,-99,-99,-99,14,2,
capital,figure,-99,-99,-99,15,2,
bullet,walkway,-99,-99,-99,16,2,
caring,skirt,-99,-99,-99,17,2,
risk,zero,-99,-99,-99,18,2,
fan,feature,-99,-99,-99,19,2,
forest,knob,-99,-99,-99,20,2,
pork,emperor,-99,-99,-99,21,2,
prison,loaf,-99,-99,-99,22,2,
plant,worm,-99,-99,-99,23,2,
bleach,ruin,-99,-99,-99,24,2,
grip,beach,-99,-99,-99,25,2,
glue,force,-99,-99,-99,26,2,
smother,surgery,-99,-99,-99,27,2,
nerve,bumper,-99,-99,-99,28,2,
shrink,mafia,-99,-99,-99,29,2,
visit,glove,-99,-99,-99,30,2,
copy,bedroom,-99,-99,-99,31,2,
date,laugh,-99,-99,-99,32,2,
mill,feast,-99,-99,-99,33,2,
pea,bathtub,-99,-99,-99,34,2,
remind,foam,-99,-99,-99,35,2,
biology,temper,-99,-99,-99,36,2,
chicken,beet,-99,-99,-99,37,2,
knock,otter,-99,-99,-99,38,2,
replace,roach,-99,-99,-99,39,2,
process,joker,-99,-99,-99,40,2,
calf,annoy,39,3.033,1.524,1,3,
port,cinema,72,1.687,0.815,2,3,
banner,glide,36,1.672,0.712,3,3,
fan,feature,35,1.272,0.551,4,3,
mill,feast,79,2.142,0.502,5,3,
chicken,beet,30,1.855,1.095,6,3,
rock,milk,41,1.518,0.544,7,3,
shrink,mafia,70,1.512,0.937,8,3,
fee,chowder,25,1.615,0.447,9,3,
need,faucet,32,1.312,0.576,10,3,
biology,temper,63,1.312,0.728,11,3,
want,ascent,26,1.6,0.89,12,3,
pea,bathtub,77,2.919,1.12,13,3,
bacon,feud,77,2.015,0.68,14,3,
visit,glove,60,1.495,0.784,15,3,
bleach,ruin,40,1.537,0.596,16,3,
knock,otter,65,1.414,0.749,17,3,
risk,zero,28,1.592,0.84,18,3,
smother,surgery,30,1.464,0.552,19,3,
find,clown,20,1.203,0.528,20,3,
nerve,bumper,28,1.751,1.016,21,3,
collect,loyalty,71,1.457,0.824,22,3,
replace,roach,42,1.287,0.712,23,3,
process,joker,31,1.471,0.648,24,3,
forest,knob,36,1.205,0.592,25,3,
remind,foam,28,1.252,0.582,26,3,
pork,emperor,87,1.201,0.585,27,3,
glue,force,71,2.167,0.863,28,3,
link,crisis,66,1.415,0.768,29,3,
caring,skirt,39,1.384,0.752,30,3,
anger,decay,66,1.37,0.512,31,3,
prison,loaf,30,1.35,0.462,32,3,
climax,saucer,40,1.776,1.224,33,3,
bias,sirloin,72,1.353,0.673,34,3,
grip,beach,64,1.47,0.84,35,3,
bullet,walkway,77,1.856,0.851,36,3,
plant,worm,36,4.063,3.129,37,3,
date,laugh,31,1.783,0.744,38,3,
copy,bedroom,36,2.193,1.161,39,3,
capital,figure,38,1.616,0.904,40,3,

