word1,word2,jol,jolrt,jolrtfirst,trial,list,
bullet,walkway,-99,-99,-99,1,1,
knock,otter,-99,-99,-99,2,1,
need,faucet,-99,-99,-99,3,1,
remind,foam,-99,-99,-99,4,1,
date,laugh,-99,-99,-99,5,1,
copy,bedroom,-99,-99,-99,6,1,
chicken,beet,-99,-99,-99,7,1,
want,ascent,-99,-99,-99,8,1,
calf,annoy,-99,-99,-99,9,1,
pea,bathtub,-99,-99,-99,10,1,
plant,worm,-99,-99,-99,11,1,
port,cinema,-99,-99,-99,12,1,
prison,loaf,-99,-99,-99,13,1,
rock,milk,-99,-99,-99,14,1,
risk,zero,-99,-99,-99,15,1,
caring,skirt,-99,-99,-99,16,1,
smother,surgery,-99,-99,-99,17,1,
nerve,bumper,-99,-99,-99,18,1,
replace,roach,-99,-99,-99,19,1,
banner,glide,-99,-99,-99,20,1,
bleach,ruin,-99,-99,-99,21,1,
shrink,mafia,-99,-99,-99,22,1,
capital,figure,-99,-99,-99,23,1,
pork,emperor,-99,-99,-99,24,1,
bacon,feud,-99,-99,-99,25,1,
link,crisis,-99,-99,-99,26,1,
forest,knob,-99,-99,-99,27,1,
find,clown,-99,-99,-99,28,1,
biology,temper,-99,-99,-99,29,1,
process,joker,-99,-99,-99,30,1,
mill,feast,-99,-99,-99,31,1,
climax,saucer,-99,-99,-99,32,1,
collect,loyalty,-99,-99,-99,33,1,
bias,sirloin,-99,-99,-99,34,1,
visit,glove,-99,-99,-99,35,1,
fan,feature,-99,-99,-99,36,1,
glue,force,-99,-99,-99,37,1,
fee,chowder,-99,-99,-99,38,1,
anger,decay,-99,-99,-99,39,1,
grip,beach,-99,-99,-99,40,1,
collect,loyalty,-99,-99,-99,1,2,
bacon,feud,-99,-99,-99,2,2,
biology,temper,-99,-99,-99,3,2,
bias,sirloin,-99,-99,-99,4,2,
want,ascent,-99,-99,-99,5,2,
need,faucet,-99,-99,-99,6,2,
knock,otter,-99,-99,-99,7,2,
climax,saucer,-99,-99,-99,8,2,
mill,feast,-99,-99,-99,9,2,
nerve,bumper,-99,-99,-99,10,2,
pork,emperor,-99,-99,-99,11,2,
pea,bathtub,-99,-99,-99,12,2,
shrink,mafia,-99,-99,-99,13,2,
smother,surgery,-99,-99,-99,14,2,
prison,loaf,-99,-99,-99,15,2,
forest,knob,-99,-99,-99,16,2,
find,clown,-99,-99,-99,17,2,
fee,chowder,-99,-99,-99,18,2,
calf,annoy,-99,-99,-99,19,2,
caring,skirt,-99,-99,-99,20,2,
capital,figure,-99,-99,-99,21,2,
bleach,ruin,-99,-99,-99,22,2,
copy,bedroom,-99,-99,-99,23,2,
replace,roach,-99,-99,-99,24,2,
bullet,walkway,-99,-99,-99,25,2,
banner,glide,-99,-99,-99,26,2,
visit,glove,-99,-99,-99,27,2,
process,joker,-99,-99,-99,28,2,
chicken,beet,-99,-99,-99,29,2,
fan,feature,-99,-99,-99,30,2,
rock,milk,-99,-99,-99,31,2,
grip,beach,-99,-99,-99,32,2,
anger,decay,-99,-99,-99,33,2,
plant,worm,-99,-99,-99,34,2,
glue,force,-99,-99,-99,35,2,
port,cinema,-99,-99,-99,36,2,
date,laugh,-99,-99,-99,37,2,
link,crisis,-99,-99,-99,38,2,
risk,zero,-99,-99,-99,39,2,
remind,foam,-99,-99,-99,40,2,
rock,milk,74,11.204,4.957,1,3,
bias,sirloin,72,3.617,2.558,2,3,
risk,zero,74,2.715,1.801,3,3,
link,crisis,18,9.218,2.085,4,3,
visit,glove,47,6.488,5.4,5,3,
collect,loyalty,7,5.305,3.911,6,3,
chicken,beet,60,7.182,5.108,7,3,
shrink,mafia,78,3.001,1.528,8,3,
capital,figure,72,3.519,2.005,9,3,
forest,knob,69,2.85,1.563,10,3,
plant,worm,100,4.911,3.387,11,3,
grip,beach,78,5.272,4.149,12,3,
fan,feature,20,8.726,6.348,13,3,
copy,bedroom,17,5.191,2.787,14,3,
fee,chowder,81,3.172,1.735,15,3,
biology,temper,52,3.668,2.799,16,3,
calf,annoy,72,6.948,4.82,17,3,
process,joker,71,5.871,5.073,18,3,
pea,bathtub,79,2.87,2.021,19,3,
bacon,feud,68,2.727,2.081,20,3,
bullet,walkway,92,3.879,1.648,21,3,
nerve,bumper,3,9.218,6.007,22,3,
banner,glide,80,4.551,2.659,23,3,
smother,surgery,76,4.221,1.795,24,3,
glue,force,86,4.905,2.217,25,3,
pork,emperor,1,24.94,23.101,26,3,
remind,foam,1,3.041,2.232,27,3,
prison,loaf,81,3.113,2.208,28,3,
port,cinema,83,2.543,1.432,29,3,
anger,decay,89,2.327,1.328,30,3,
bleach,ruin,81,2.303,1.068,31,3,
climax,saucer,81,4.536,2.194,32,3,
find,clown,89,5.705,1.358,33,3,
need,faucet,1,3.885,1.525,34,3,
mill,feast,85,2.597,1.423,35,3,
date,laugh,100,5.77,4.16,36,3,
caring,skirt,15,3.704,2.312,37,3,
replace,roach,40,10.999,8.39,38,3,
knock,otter,1,34.51,31.759,39,3,
want,ascent,14,2.536,1.884,40,3,

