word1,word2,jol,jolrt,jolrtfirst,trial,list,
find,clown,-99,-99,-99,1,1,
mill,feast,-99,-99,-99,2,1,
chicken,beet,-99,-99,-99,3,1,
biology,temper,-99,-99,-99,4,1,
bleach,ruin,-99,-99,-99,5,1,
replace,roach,-99,-99,-99,6,1,
smother,surgery,-99,-99,-99,7,1,
pork,emperor,-99,-99,-99,8,1,
link,crisis,-99,-99,-99,9,1,
collect,loyalty,-99,-99,-99,10,1,
want,ascent,-99,-99,-99,11,1,
bullet,walkway,-99,-99,-99,12,1,
risk,zero,-99,-99,-99,13,1,
bias,sirloin,-99,-99,-99,14,1,
glue,force,-99,-99,-99,15,1,
visit,glove,-99,-99,-99,16,1,
anger,decay,-99,-99,-99,17,1,
grip,beach,-99,-99,-99,18,1,
plant,worm,-99,-99,-99,19,1,
copy,bedroom,-99,-99,-99,20,1,
fee,chowder,-99,-99,-99,21,1,
need,faucet,-99,-99,-99,22,1,
knock,otter,-99,-99,-99,23,1,
climax,saucer,-99,-99,-99,24,1,
banner,glide,-99,-99,-99,25,1,
prison,loaf,-99,-99,-99,26,1,
bacon,feud,-99,-99,-99,27,1,
calf,annoy,-99,-99,-99,28,1,
nerve,bumper,-99,-99,-99,29,1,
fan,feature,-99,-99,-99,30,1,
capital,figure,-99,-99,-99,31,1,
forest,knob,-99,-99,-99,32,1,
caring,skirt,-99,-99,-99,33,1,
remind,foam,-99,-99,-99,34,1,
date,laugh,-99,-99,-99,35,1,
port,cinema,-99,-99,-99,36,1,
pea,bathtub,-99,-99,-99,37,1,
rock,milk,-99,-99,-99,38,1,
process,joker,-99,-99,-99,39,1,
shrink,mafia,-99,-99,-99,40,1,
forest,knob,-99,-99,-99,1,2,
pea,bathtub,-99,-99,-99,2,2,
fee,chowder,-99,-99,-99,3,2,
prison,loaf,-99,-99,-99,4,2,
date,laugh,-99,-99,-99,5,2,
bleach,ruin,-99,-99,-99,6,2,
process,joker,-99,-99,-99,7,2,
want,ascent,-99,-99,-99,8,2,
grip,beach,-99,-99,-99,9,2,
biology,temper,-99,-99,-99,10,2,
mill,feast,-99,-99,-99,11,2,
smother,surgery,-99,-99,-99,12,2,
glue,force,-99,-99,-99,13,2,
rock,milk,-99,-99,-99,14,2,
bullet,walkway,-99,-99,-99,15,2,
caring,skirt,-99,-99,-99,16,2,
replace,roach,-99,-99,-99,17,2,
anger,decay,-99,-99,-99,18,2,
knock,otter,-99,-99,-99,19,2,
copy,bedroom,-99,-99,-99,20,2,
bacon,feud,-99,-99,-99,21,2,
find,clown,-99,-99,-99,22,2,
shrink,mafia,-99,-99,-99,23,2,
nerve,bumper,-99,-99,-99,24,2,
climax,saucer,-99,-99,-99,25,2,
banner,glide,-99,-99,-99,26,2,
plant,worm,-99,-99,-99,27,2,
port,cinema,-99,-99,-99,28,2,
remind,foam,-99,-99,-99,29,2,
risk,zero,-99,-99,-99,30,2,
link,crisis,-99,-99,-99,31,2,
calf,annoy,-99,-99,-99,32,2,
chicken,beet,-99,-99,-99,33,2,
need,faucet,-99,-99,-99,34,2,
capital,figure,-99,-99,-99,35,2,
bias,sirloin,-99,-99,-99,36,2,
visit,glove,-99,-99,-99,37,2,
pork,emperor,-99,-99,-99,38,2,
collect,loyalty,-99,-99,-99,39,2,
fan,feature,-99,-99,-99,40,2,
copy,bedroom,28,4.372,2.265,1,3,
bullet,walkway,57,3.811,2.06,2,3,
glue,force,58,3.067,1.083,3,3,
biology,temper,60,2.606,1.33,4,3,
collect,loyalty,33,2.359,1.285,5,3,
anger,decay,72,1.921,1.012,6,3,
chicken,beet,71,2.102,1.081,7,3,
process,joker,40,2.718,1.478,8,3,
find,clown,25,3.291,0.978,9,3,
shrink,mafia,55,3.349,2.079,10,3,
link,crisis,27,2.288,1.425,11,3,
date,laugh,29,2.349,1.299,12,3,
need,faucet,23,2.147,1.292,13,3,
capital,figure,62,2.752,1.406,14,3,
calf,annoy,82,1.924,1.081,15,3,
want,ascent,22,1.831,0.992,16,3,
prison,loaf,61,1.958,1.146,17,3,
mill,feast,27,2.416,1.426,18,3,
banner,glide,33,1.988,1.105,19,3,
plant,worm,37,2.057,1.202,20,3,
knock,otter,30,4.325,1.151,21,3,
rock,milk,56,1.908,1.164,22,3,
nerve,bumper,35,3.1,1.674,23,3,
forest,knob,62,2.122,1.418,24,3,
risk,zero,41,1.75,0.819,25,3,
visit,glove,23,1.72,0.896,26,3,
bias,sirloin,31,2.274,1.367,27,3,
fee,chowder,35,2.538,1.18,28,3,
remind,foam,30,2.597,1.269,29,3,
pork,emperor,64,2.313,1.246,30,3,
port,cinema,29,1.687,0.93,31,3,
climax,saucer,38,2.381,1.135,32,3,
bleach,ruin,70,2.621,1.621,33,3,
caring,skirt,34,1.611,0.816,34,3,
bacon,feud,64,2.762,1.539,35,3,
replace,roach,33,2.111,1.017,36,3,
pea,bathtub,70,1.702,1.004,37,3,
fan,feature,26,2.509,1.593,38,3,
smother,surgery,26,3.459,2.526,39,3,
grip,beach,29,2.002,1.186,40,3,

