word1,word2,jol,jolrt,jolrtfirst,trial,list,
collect,loyalty,-99,-99,-99,1,1,
chicken,beet,-99,-99,-99,2,1,
bullet,walkway,-99,-99,-99,3,1,
shrink,mafia,-99,-99,-99,4,1,
fee,chowder,-99,-99,-99,5,1,
anger,decay,-99,-99,-99,6,1,
banner,glide,-99,-99,-99,7,1,
plant,worm,-99,-99,-99,8,1,
link,crisis,-99,-99,-99,9,1,
bacon,feud,-99,-99,-99,10,1,
remind,foam,-99,-99,-99,11,1,
replace,roach,-99,-99,-99,12,1,
need,faucet,-99,-99,-99,13,1,
nerve,bumper,-99,-99,-99,14,1,
grip,beach,-99,-99,-99,15,1,
pea,bathtub,-99,-99,-99,16,1,
port,cinema,-99,-99,-99,17,1,
prison,loaf,-99,-99,-99,18,1,
risk,zero,-99,-99,-99,19,1,
smother,surgery,-99,-99,-99,20,1,
bleach,ruin,-99,-99,-99,21,1,
mill,feast,-99,-99,-99,22,1,
glue,force,-99,-99,-99,23,1,
bias,sirloin,-99,-99,-99,24,1,
copy,bedroom,-99,-99,-99,25,1,
rock,milk,-99,-99,-99,26,1,
visit,glove,-99,-99,-99,27,1,
biology,temper,-99,-99,-99,28,1,
calf,annoy,-99,-99,-99,29,1,
process,joker,-99,-99,-99,30,1,
caring,skirt,-99,-99,-99,31,1,
want,ascent,-99,-99,-99,32,1,
pork,emperor,-99,-99,-99,33,1,
forest,knob,-99,-99,-99,34,1,
capital,figure,-99,-99,-99,35,1,
date,laugh,-99,-99,-99,36,1,
climax,saucer,-99,-99,-99,37,1,
find,clown,-99,-99,-99,38,1,
knock,otter,-99,-99,-99,39,1,
fan,feature,-99,-99,-99,40,1,
remind,foam,-99,-99,-99,1,2,
biology,temper,-99,-99,-99,2,2,
shrink,mafia,-99,-99,-99,3,2,
pork,emperor,-99,-99,-99,4,2,
bleach,ruin,-99,-99,-99,5,2,
replace,roach,-99,-99,-99,6,2,
rock,milk,-99,-99,-99,7,2,
banner,glide,-99,-99,-99,8,2,
anger,decay,-99,-99,-99,9,2,
find,clown,-99,-99,-99,10,2,
prison,loaf,-99,-99,-99,11,2,
nerve,bumper,-99,-99,-99,12,2,
knock,otter,-99,-99,-99,13,2,
plant,worm,-99,-99,-99,14,2,
capital,figure,-99,-99,-99,15,2,
need,faucet,-99,-99,-99,16,2,
date,laugh,-99,-99,-99,17,2,
calf,annoy,-99,-99,-99,18,2,
copy,bedroom,-99,-99,-99,19,2,
pea,bathtub,-99,-99,-99,20,2,
forest,knob,-99,-99,-99,21,2,
caring,skirt,-99,-99,-99,22,2,
bullet,walkway,-99,-99,-99,23,2,
bacon,feud,-99,-99,-99,24,2,
fee,chowder,-99,-99,-99,25,2,
mill,feast,-99,-99,-99,26,2,
bias,sirloin,-99,-99,-99,27,2,
risk,zero,-99,-99,-99,28,2,
process,joker,-99,-99,-99,29,2,
climax,saucer,-99,-99,-99,30,2,
link,crisis,-99,-99,-99,31,2,
collect,loyalty,-99,-99,-99,32,2,
want,ascent,-99,-99,-99,33,2,
port,cinema,-99,-99,-99,34,2,
smother,surgery,-99,-99,-99,35,2,
fan,feature,-99,-99,-99,36,2,
visit,glove,-99,-99,-99,37,2,
glue,force,-99,-99,-99,38,2,
chicken,beet,-99,-99,-99,39,2,
grip,beach,-99,-99,-99,40,2,
bias,sirloin,1,5.33,2.745,1,3,
visit,glove,25,2.662,1.078,2,3,
rock,milk,24,2.367,1.116,3,3,
nerve,bumper,9,3.151,1.072,4,3,
plant,worm,7,2.503,0.896,5,3,
climax,saucer,15,3.255,2.04,6,3,
mill,feast,24,1.967,0.863,7,3,
remind,foam,66,1.846,0.831,8,3,
collect,loyalty,73,1.911,0.944,9,3,
glue,force,66,2.43,0.911,10,3,
forest,knob,84,2.358,1.143,11,3,
calf,annoy,80,2.047,1.096,12,3,
need,faucet,62,2.95,1.679,13,3,
pea,bathtub,68,2.438,1.198,14,3,
date,laugh,75,1.999,0.936,15,3,
capital,figure,74,2.159,0.912,16,3,
chicken,beet,80,2.015,1.007,17,3,
bleach,ruin,78,2.063,1.032,18,3,
knock,otter,81,2.231,1.136,19,3,
process,joker,76,2.214,0.812,20,3,
replace,roach,74,1.808,0.728,21,3,
prison,loaf,62,28.287,27.147,22,3,
copy,bedroom,82,3.087,1.847,23,3,
pork,emperor,65,30.232,29.047,24,3,
link,crisis,73,2.247,1.007,25,3,
port,cinema,77,2.573,1.022,26,3,
find,clown,69,2.199,1.032,27,3,
fee,chowder,75,1.975,0.903,28,3,
smother,surgery,77,2.334,1.119,29,3,
shrink,mafia,74,1.953,0.969,30,3,
caring,skirt,76,3.804,2.437,31,3,
banner,glide,88,2.246,1.125,32,3,
biology,temper,61,9.071,7.91,33,3,
anger,decay,70,2.095,1.016,34,3,
fan,feature,71,2.023,0.776,35,3,
risk,zero,72,3.312,1.825,36,3,
want,ascent,78,2.816,1.167,37,3,
bullet,walkway,75,1.797,0.735,38,3,
bacon,feud,83,1.855,0.856,39,3,
grip,beach,79,237.017,235.807,40,3,

