word1,word2,jol,jolrt,jolrtfirst,trial,list,
pea,bathtub,-99,-99,-99,1,1,
chicken,beet,-99,-99,-99,2,1,
banner,glide,-99,-99,-99,3,1,
capital,figure,-99,-99,-99,4,1,
bleach,ruin,-99,-99,-99,5,1,
date,laugh,-99,-99,-99,6,1,
fee,chowder,-99,-99,-99,7,1,
climax,saucer,-99,-99,-99,8,1,
process,joker,-99,-99,-99,9,1,
visit,glove,-99,-99,-99,10,1,
bias,sirloin,-99,-99,-99,11,1,
knock,otter,-99,-99,-99,12,1,
nerve,bumper,-99,-99,-99,13,1,
mill,feast,-99,-99,-99,14,1,
copy,bedroom,-99,-99,-99,15,1,
calf,annoy,-99,-99,-99,16,1,
rock,milk,-99,-99,-99,17,1,
smother,surgery,-99,-99,-99,18,1,
fan,feature,-99,-99,-99,19,1,
remind,foam,-99,-99,-99,20,1,
find,clown,-99,-99,-99,21,1,
replace,roach,-99,-99,-99,22,1,
caring,skirt,-99,-99,-99,23,1,
plant,worm,-99,-99,-99,24,1,
biology,temper,-99,-99,-99,25,1,
glue,force,-99,-99,-99,26,1,
prison,loaf,-99,-99,-99,27,1,
risk,zero,-99,-99,-99,28,1,
shrink,mafia,-99,-99,-99,29,1,
anger,decay,-99,-99,-99,30,1,
bullet,walkway,-99,-99,-99,31,1,
pork,emperor,-99,-99,-99,32,1,
need,faucet,-99,-99,-99,33,1,
link,crisis,-99,-99,-99,34,1,
collect,loyalty,-99,-99,-99,35,1,
grip,beach,-99,-99,-99,36,1,
want,ascent,-99,-99,-99,37,1,
port,cinema,-99,-99,-99,38,1,
bacon,feud,-99,-99,-99,39,1,
forest,knob,-99,-99,-99,40,1,
find,clown,-99,-99,-99,1,2,
visit,glove,-99,-99,-99,2,2,
need,faucet,-99,-99,-99,3,2,
link,crisis,-99,-99,-99,4,2,
chicken,beet,-99,-99,-99,5,2,
climax,saucer,-99,-99,-99,6,2,
biology,temper,-99,-99,-99,7,2,
bullet,walkway,-99,-99,-99,8,2,
pork,emperor,-99,-99,-99,9,2,
capital,figure,-99,-99,-99,10,2,
replace,roach,-99,-99,-99,11,2,
bleach,ruin,-99,-99,-99,12,2,
shrink,mafia,-99,-99,-99,13,2,
bacon,feud,-99,-99,-99,14,2,
port,cinema,-99,-99,-99,15,2,
fee,chowder,-99,-99,-99,16,2,
grip,beach,-99,-99,-99,17,2,
smother,surgery,-99,-99,-99,18,2,
remind,foam,-99,-99,-99,19,2,
risk,zero,-99,-99,-99,20,2,
pea,bathtub,-99,-99,-99,21,2,
glue,force,-99,-99,-99,22,2,
calf,annoy,-99,-99,-99,23,2,
knock,otter,-99,-99,-99,24,2,
forest,knob,-99,-99,-99,25,2,
date,laugh,-99,-99,-99,26,2,
plant,worm,-99,-99,-99,27,2,
process,joker,-99,-99,-99,28,2,
mill,feast,-99,-99,-99,29,2,
bias,sirloin,-99,-99,-99,30,2,
caring,skirt,-99,-99,-99,31,2,
copy,bedroom,-99,-99,-99,32,2,
banner,glide,-99,-99,-99,33,2,
fan,feature,-99,-99,-99,34,2,
anger,decay,-99,-99,-99,35,2,
nerve,bumper,-99,-99,-99,36,2,
rock,milk,-99,-99,-99,37,2,
want,ascent,-99,-99,-99,38,2,
prison,loaf,-99,-99,-99,39,2,
collect,loyalty,-99,-99,-99,40,2,
plant,worm,87,4.774,2.802,1,3,
copy,bedroom,91,3.741,1.825,2,3,
climax,saucer,69,3.049,1.433,3,3,
process,joker,51,4.787,3.366,4,3,
bullet,walkway,83,2.641,1.195,5,3,
collect,loyalty,71,4.331,2.321,6,3,
capital,figure,90,2.837,0.989,7,3,
mill,feast,90,3.033,1.367,8,3,
nerve,bumper,80,3.395,1.334,9,3,
shrink,mafia,59,3.725,2.097,10,3,
port,cinema,70,2.987,1.461,11,3,
link,crisis,40,3.081,1.824,12,3,
anger,decay,21,5.973,4.293,13,3,
chicken,beet,63,2.561,0.967,14,3,
forest,knob,63,3.781,1.399,15,3,
prison,loaf,73,3.829,2.141,16,3,
bleach,ruin,91,3.253,1.195,17,3,
biology,temper,25,5.346,3.144,18,3,
pork,emperor,55,4.873,2.947,19,3,
replace,roach,17,6.045,4.315,20,3,
smother,surgery,59,2.475,1.225,21,3,
caring,skirt,71,2.955,1.429,22,3,
need,faucet,11,3.575,1.397,23,3,
bias,sirloin,88,3.805,1.305,24,3,
pea,bathtub,83,3.259,1.649,25,3,
grip,beach,61,3.214,1.234,26,3,
rock,milk,36,4.009,2.686,27,3,
knock,otter,8,3.591,1.609,28,3,
find,clown,40,4.59,1.429,29,3,
risk,zero,61,3.27,1.777,30,3,
remind,foam,12,3.347,1.225,31,3,
fan,feature,77,2.759,1.1,32,3,
date,laugh,85,4.353,1.433,33,3,
bacon,feud,70,5.227,1.077,34,3,
glue,force,81,3.789,1.643,35,3,
fee,chowder,16,3.292,1.272,36,3,
want,ascent,16,3.167,1.329,37,3,
banner,glide,67,2.657,1.251,38,3,
calf,annoy,76,2.733,1.293,39,3,
visit,glove,20,3.773,1.477,40,3,

