"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1311","climax","saucer",56,5.616,1,1,0,11,0.275,"",NA,NA,NA
"1311","fee","chowder",85,2.381,2,1,1,30,0.75,"chowder",1,NA,5.005
"1311","want","ascent",90,1.465,3,1,0,31,0.775,"",NA,NA,NA
"1311","shrink","mafia",100,1.661,4,1,0,39,0.975,"",NA,NA,NA
"1311","find","clown",96,4.907,5,1,1,34,0.85,"acorn",0,NA,3.856
"1311","caring","skirt",72,2.796,6,1,0,19,0.475,"",NA,NA,NA
"1311","need","faucet",79,1.483,7,1,1,28,0.7,"boat",0,NA,5.01
"1311","date","laugh",77,2.895,8,1,0,25,0.625,"",NA,NA,NA
"1311","anger","decay",79,5.641,9,1,0,27,0.675,"",NA,NA,NA
"1311","forest","knob",74,1.947,10,1,1,22,0.55,"tree",0,NA,6.279
"1311","nerve","bumper",8,4.85,11,1,1,2,0.05,"bumper",1,NA,5.583
"1311","bias","sirloin",59,2.645,12,1,0,13,0.325,"",NA,NA,NA
"1311","bacon","feud",59,3.098,13,1,1,14,0.35,"love",0,NA,9.012
"1311","prison","loaf",99,2.388,14,1,0,37,0.925,"",NA,NA,NA
"1311","collect","loyalty",93,1.601,15,1,1,32,0.8,"loyalty",1,NA,14.588
"1311","plant","worm",66,1.291,16,1,1,16,0.4,"worm",1,NA,13.559
"1311","capital","figure",98,1.411,17,1,0,35,0.875,"",NA,NA,NA
"1311","bleach","ruin",99,6.74,18,1,1,36,0.9,"ruin",1,NA,4.157
"1311","biology","temper",18,1.485,19,1,1,4,0.1,"temper",1,NA,7.695
"1311","risk","zero",100,2.027,20,1,1,40,1,"zero",1,NA,4.175
"1311","fan","feature",18,1.307,21,1,0,5,0.125,"",NA,NA,NA
"1311","copy","bedroom",22,2.125,22,1,1,6,0.15,"faucet",0,NA,32.628
"1311","visit","glove",53,1.413,23,1,0,9,0.225,"",NA,NA,NA
"1311","calf","annoy",11,1.5,24,1,0,3,0.075,"",NA,NA,NA
"1311","process","joker",95,1.396,25,1,0,33,0.825,"",NA,NA,NA
"1311","banner","glide",76,1.549,26,1,1,24,0.6,"glide",1,NA,13.44
"1311","bullet","walkway",78,2.058,27,1,1,26,0.65,"walkway",1,NA,10.486
"1311","glue","force",73,3.22,28,1,1,20,0.5,"force",1,NA,4.743
"1311","pork","emperor",100,1.62,29,1,1,38,0.95,"emperor",1,NA,11.429
"1311","grip","beach",28,1.692,30,1,0,7,0.175,"",NA,NA,NA
"1311","remind","foam",71,1.516,31,1,1,18,0.45,"foam",1,NA,23.453
"1311","chicken","beet",63,3.939,32,1,0,15,0.375,"",NA,NA,NA
"1311","link","crisis",54,1.309,33,1,1,10,0.25,"sunk",0,NA,20.42
