"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp"
"1311","climax","saucer",56,5.616,1,1,0,11,0.275
"1311","rock","milk",52,2.048,2,1,1,8,0.2
"1311","bias","sirloin",59,2.645,3,1,0,13,0.325
"1311","mill","feast",58,7.612,4,1,1,12,0.3
"1311","bacon","feud",59,3.098,5,1,1,14,0.35
"1311","glue","force",73,3.22,6,1,1,20,0.5
"1311","bullet","walkway",78,2.058,7,1,1,26,0.65
"1311","caring","skirt",72,2.796,8,1,0,19,0.475
"1311","forest","knob",74,1.947,9,1,1,22,0.55
"1311","remind","foam",71,1.516,10,1,1,18,0.45
"1311","grip","beach",28,1.692,11,1,0,7,0.175
"1311","visit","glove",53,1.413,12,1,0,9,0.225
"1311","biology","temper",18,1.485,13,1,1,4,0.1
"1311","banner","glide",76,1.549,14,1,1,24,0.6
"1311","plant","worm",66,1.291,15,1,1,16,0.4
"1311","pork","emperor",100,1.62,16,1,1,38,0.95
"1311","shrink","mafia",100,1.661,17,1,0,39,0.975
"1311","bleach","ruin",99,6.74,18,1,1,36,0.9
"1311","prison","loaf",99,2.388,19,1,0,37,0.925
"1311","find","clown",96,4.907,20,1,1,34,0.85
"1311","anger","decay",79,5.641,21,1,0,27,0.675
"1311","chicken","beet",63,3.939,22,1,0,15,0.375
"1311","port","cinema",75,1.559,23,1,0,23,0.575
"1311","process","joker",95,1.396,24,1,0,33,0.825
"1311","want","ascent",90,1.465,25,1,0,31,0.775
"1311","replace","roach",70,65.579,26,1,0,17,0.425
"1311","date","laugh",77,2.895,27,1,0,25,0.625
"1311","collect","loyalty",93,1.601,28,1,1,32,0.8
"1311","calf","annoy",11,1.5,29,1,0,3,0.075
"1311","need","faucet",79,1.483,30,1,1,28,0.7
"1311","fan","feature",18,1.307,31,1,0,5,0.125
"1311","copy","bedroom",22,2.125,32,1,1,6,0.15
"1311","nerve","bumper",8,4.85,33,1,1,2,0.05
"1311","knock","otter",1,1.3,34,1,0,1,0.025
"1311","risk","zero",100,2.027,35,1,1,40,1
"1311","fee","chowder",85,2.381,36,1,1,30,0.75
"1311","link","crisis",54,1.309,37,1,1,10,0.25
"1311","capital","figure",98,1.411,38,1,0,35,0.875
"1311","pea","bathtub",80,2.333,39,1,0,29,0.725
"1311","smother","surgery",73,1.771,40,1,0,21,0.525
"1481","visit","glove",33,16.665,1,1,1,16,0.4
"1481","need","faucet",70,4.297,2,1,1,30,0.75
"1481","forest","knob",34,4.463,3,1,0,17,0.425
"1481","remind","foam",67,5.9,4,1,0,27,0.675
"1481","banner","glide",25,3.114,5,1,0,13,0.325
"1481","prison","loaf",71,6.212,6,1,0,31,0.775
"1481","copy","bedroom",35,2.544,7,1,0,19,0.475
"1481","collect","loyalty",64,3.877,8,1,1,26,0.65
"1481","fee","chowder",77,3.497,9,1,0,35,0.875
"1481","bacon","feud",81,4.073,10,1,1,38,0.95
"1481","mill","feast",12,2.946,11,1,0,3,0.075
"1481","risk","zero",81,2.907,12,1,0,39,0.975
"1481","chicken","beet",69,2.931,13,1,0,29,0.725
"1481","bullet","walkway",14,3.862,14,1,1,4,0.1
"1481","biology","temper",34,3.032,15,1,1,18,0.45
"1481","bleach","ruin",78,2.831,16,1,1,36,0.9
"1481","date","laugh",79,2.26,17,1,0,37,0.925
"1481","anger","decay",53,7.447,18,1,1,22,0.55
"1481","smother","surgery",20,2.61,19,1,1,8,0.2
"1481","shrink","mafia",31,3.376,20,1,0,15,0.375
"1481","process","joker",20,3.95,21,1,0,9,0.225
"1481","calf","annoy",62,3.031,22,1,0,25,0.625
"1481","capital","figure",84,2.687,23,1,1,40,1
"1481","replace","roach",76,3.54,24,1,0,33,0.825
"1481","knock","otter",24,2.319,25,1,1,12,0.3
"1481","nerve","bumper",61,2.804,26,1,1,24,0.6
"1481","port","cinema",10,2.029,27,1,0,1,0.025
"1481","climax","saucer",23,2.887,28,1,0,11,0.275
"1481","bias","sirloin",68,4.489,29,1,1,28,0.7
"1481","fan","feature",76,2.049,30,1,1,34,0.85
"1481","plant","worm",58,2.541,31,1,0,23,0.575
"1481","want","ascent",10,3.96,32,1,1,2,0.05
"1481","pea","bathtub",16,5.179,33,1,1,6,0.15
"1481","caring","skirt",20,2.543,34,1,1,10,0.25
"1481","pork","emperor",44,5.788,35,1,1,20,0.5
"1481","glue","force",28,3.256,36,1,1,14,0.35
"1481","find","clown",74,2.438,37,1,1,32,0.8
"1481","link","crisis",52,4.558,38,1,0,21,0.525
"1481","rock","milk",15,3.304,39,1,0,5,0.125
"1481","grip","beach",18,3.399,40,1,0,7,0.175
"1548","rock","milk",85,9.053,1,1,1,36,0.9
"1548","anger","decay",60,5.506,2,1,1,24,0.6
"1548","calf","annoy",67,2.432,3,1,0,27,0.675
"1548","nerve","bumper",27,2.416,4,1,1,12,0.3
"1548","caring","skirt",72,2.868,5,1,0,33,0.825
"1548","shrink","mafia",94,3.872,6,1,1,40,1
"1548","prison","loaf",78,1.758,7,1,0,35,0.875
"1548","replace","roach",72,2.262,8,1,1,34,0.85
"1548","find","clown",34,1.956,9,1,1,18,0.45
"1548","fan","feature",28,3.314,10,1,1,14,0.35
"1548","capital","figure",4,1.393,11,1,0,1,0.025
"1548","bullet","walkway",67,2.474,12,1,1,28,0.7
"1548","smother","surgery",21,3.176,13,1,0,7,0.175
"1548","copy","bedroom",51,2.598,14,1,0,21,0.525
"1548","fee","chowder",20,3.568,15,1,0,5,0.125
"1548","port","cinema",56,2.008,16,1,1,22,0.55
"1548","mill","feast",24,2.03,17,1,1,10,0.25
"1548","biology","temper",21,1.914,18,1,1,8,0.2
"1548","grip","beach",6,2.233,19,1,1,2,0.05
"1548","chicken","beet",61,1.454,20,1,0,25,0.625
"1548","date","laugh",88,1.548,21,1,1,38,0.95
"1548","pea","bathtub",28,1.845,22,1,0,15,0.375
"1548","forest","knob",63,1.609,23,1,1,26,0.65
"1548","climax","saucer",69,1.583,24,1,0,29,0.725
"1548","pork","emperor",25,1.42,25,1,0,11,0.275
"1548","knock","otter",32,1.743,26,1,0,17,0.425
"1548","remind","foam",23,3.05,27,1,0,9,0.225
"1548","want","ascent",70,1.661,28,1,1,30,0.75
"1548","banner","glide",27,1.409,29,1,0,13,0.325
"1548","plant","worm",59,1.818,30,1,0,23,0.575
"1548","glue","force",29,2.947,31,1,1,16,0.4
"1548","process","joker",87,6.779,32,1,0,37,0.925
"1548","risk","zero",10,2.105,33,1,0,3,0.075
"1548","collect","loyalty",39,1.263,34,1,1,20,0.5
"1548","visit","glove",71,1.896,35,1,1,32,0.8
"1548","need","faucet",35,1.362,36,1,0,19,0.475
"1548","bleach","ruin",90,1.471,37,1,0,39,0.975
"1548","link","crisis",70,1.329,38,1,0,31,0.775
"1548","bias","sirloin",14,1.29,39,1,1,4,0.1
"1548","bacon","feud",20,1.709,40,1,1,6,0.15
"1726","mill","feast",65,6.241,1,1,1,26,0.65
"1726","pork","emperor",45,5.185,2,1,1,14,0.35
"1726","fan","feature",60,7.778,3,1,0,23,0.575
"1726","replace","roach",65,13.734,4,1,0,27,0.675
"1726","remind","foam",45,13.251,5,1,0,15,0.375
"1726","date","laugh",65,16.903,6,1,1,28,0.7
"1726","capital","figure",40,9.826,7,1,1,12,0.3
"1726","forest","knob",30,8.655,8,1,1,4,0.1
"1726","link","crisis",45,27.704,9,1,1,16,0.4
"1726","calf","annoy",75,10.104,10,1,0,35,0.875
"1726","need","faucet",35,13.697,11,1,0,9,0.225
"1726","smother","surgery",75,36.436,12,1,1,36,0.9
"1726","glue","force",65,19.456,13,1,0,29,0.725
"1726","pea","bathtub",60,12.654,14,1,1,24,0.6
"1726","risk","zero",35,7.351,15,1,1,10,0.25
