subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
11,want,ascent,54,0.765364843,31,4,0,11,0.275,,,,
11,visit,glove,45,0.78192154,32,4,0,3,0.075,,,,
11,bacon,feud,58,0.915182409,33,4,1,18,0.45,met,0,7.518638272,9.214670964
11,risk,zero,54,1.448621029,34,4,1,10,0.25,enter,0,6.450353322,18.5764249
11,banner,glide,43,0.648477532,35,4,1,2,0.05,guide,0,2.018945216,8.115881484
11,bleach,ruin,100,1.082006664,36,4,0,37,0.925,,,,
11,need,faucet,59,0.865196393,37,4,0,21,0.525,,,,
11,bullet,walkway,85,0.715128974,38,4,1,36,0.9,gun,0,5.429237688,7.446026277
11,bias,sirloin,59,9.467693577,39,4,1,20,0.5,conformation,0,1.977511938,7.809481396
11,nerve,bumper,56,0.781776568,40,4,1,14,0.35,annoy,0,1.581022967,3.372990912
12,risk,zero,77,1.081835913,1,4,0,20,0.5,,,,
12,prison,loaf,100,1.448487601,2,4,1,33,0.825,loaf,1,7.23584374,9.017758649
12,remind,foam,61,1.048437053,3,4,1,7,0.175,foam,1,2.9686054,3.608636819
12,shrink,mafia,4,2.165579543,4,4,1,1,0.025, ,0,1.787932175,3.035854389
12,process,joker,66,2.282041117,5,4,1,13,0.325,joker,1,2.121313939,3.081302855
12,want,ascent,63,16.71961194,6,4,0,8,0.2,,,,
12,mill,feast,65,3.282433694,7,4,1,11,0.275, ,0,2.178008256,2.354037913
12,biology,temper,59,11.65150691,8,4,0,4,0.1,,,,
12,bias,sirloin,85,8.200408549,9,4,1,27,0.675,sirlion,0,3.796013998,7.116387485
12,port,cinema,65,1.331862132,10,4,0,12,0.3,,,,
12,nerve,bumper,81,14.48562781,11,4,1,25,0.625,bumper,1,3.0245306,4.208545859
12,grip,beach,85,3.965937545,12,4,0,28,0.7,,,,
12,rock,milk,100,1.131790994,13,4,0,32,0.8,,,,
12,collect,loyalty,100,1.182040508,14,4,0,36,0.9,,,,
12,fan,feature,81,2.215379069,15,4,0,24,0.6,,,,
12,glue,force,100,0.84860454,16,4,1,39,0.975,force,1,1.371958211,2.027979438
12,climax,saucer,67,13.16860085,17,4,1,15,0.375, ,0,1.541745447,1.701801331
12,date,laugh,100,0.815061672,18,4,1,37,0.925,laugh,1,1.08207101,1.866090246
12,smother,surgery,100,0.865056524,19,4,0,40,1,,,,
12,need,faucet,99,2.182125823,20,4,1,31,0.775, ,0,3.498602407,3.666700023
12,chicken,beet,66,5.816511705,21,4,0,14,0.35,,,,
12,bullet,walkway,100,0.764993051,22,4,0,38,0.95,,,,
12,link,crisis,67,9.500827651,23,4,1,17,0.425, ,0,3.150772276,3.294813656
12,capital,figure,91,3.182410633,24,4,1,29,0.725,figure,1,4.115484302,4.979457391
12,pea,bathtub,80,13.36860271,25,4,1,23,0.575, ,0,2.374249526,2.739009212
12,bacon,feud,82,1.181852238,26,4,0,26,0.65,,,,
