subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
10,smother,surgery,94,1.531758472,18,3,1,31,0.775
10,grip,beach,95,3.732808807,19,3,1,35,0.875
10,process,joker,85,1.465090009,20,3,1,17,0.425
10,fan,feature,90,1.081614607,21,3,1,23,0.575
10,pea,bathtub,92,2.148823825,22,3,0,26,0.65
10,pork,emperor,41,0.881794923,23,3,1,13,0.325
10,need,faucet,89,0.931729477,24,3,0,20,0.5
10,forest,knob,22,0.998294023,25,3,0,8,0.2
10,rock,milk,97,1.96544939,26,3,0,38,0.95
10,caring,skirt,10,1.04845726,27,3,1,5,0.125
10,visit,glove,13,3.599184184,28,3,0,6,0.15
10,link,crisis,89,1.365211919,29,3,1,21,0.525
10,plant,worm,94,1.248455592,30,3,0,32,0.8
10,copy,bedroom,38,1.214977512,31,3,1,11,0.275
10,climax,saucer,89,2.265418183,32,3,0,22,0.55
10,chicken,beet,5,2.598864414,33,3,0,2,0.05
10,bias,sirloin,9,0.998477482,34,3,0,4,0.1
10,banner,glide,82,4.015991091,35,3,1,15,0.375
10,prison,loaf,37,4.049401497,36,3,0,10,0.25
10,bleach,ruin,100,1.031728483,37,3,0,40,1
10,port,cinema,85,2.748986565,38,3,0,18,0.45
10,knock,otter,40,0.881765095,39,3,0,12,0.3
10,shrink,mafia,82,1.498454549,40,3,0,16,0.4
11,caring,skirt,3,5.864209168,1,1,0,7,0.175
11,need,faucet,50,0.04731108,2,1,0,21,0.525
11,mill,feast,26,4.399325236,3,1,0,17,0.425
11,find,clown,7,2.515808421,4,1,1,28,0.7
11,forest,knob,1,2.048803143,5,1,0,33,0.825
11,replace,roach,1,1.748697813,6,1,1,30,0.75
11,port,cinema,1,1.098477083,7,1,1,12,0.3
11,biology,temper,37,2.248941251,8,1,1,34,0.85
11,knock,otter,6,2.14919598,9,1,0,19,0.475
11,link,crisis,22,1.081899538,10,1,0,35,0.875
11,bleach,ruin,57,1.148548735,11,1,0,37,0.925
11,banner,glide,45,2.165375171,12,1,1,2,0.05
11,plant,worm,60,0.848684599,13,1,1,40,1
11,visit,glove,17,1.415481014,14,1,0,3,0.075
11,remind,foam,32,1.715382355,15,1,0,5,0.125
11,calf,annoy,18,1.115517449,16,1,0,29,0.725
11,rock,milk,8,8.950865858,17,1,0,15,0.375
11,copy,bedroom,20,1.782297122,18,1,1,32,0.8
11,fan,feature,31,1.815423666,19,1,1,26,0.65
11,capital,figure,44,1.015195174,20,1,1,8,0.2
11,date,laugh,78,1.182023598,21,1,1,38,0.95
11,bullet,walkway,37,1.098565606,22,1,1,36,0.9
11,anger,decay,30,1.915389604,23,1,0,23,0.575
11,grip,beach,33,8.434026272,24,1,1,4,0.1
11,process,joker,35,5.999950286,25,1,1,22,0.55
11,bacon,feud,21,2.96602511,26,1,1,18,0.45
11,want,ascent,34,1.048596268,27,1,0,11,0.275
11,glue,force,70,1.582245612,28,1,0,39,0.975
11,smother,surgery,61,1.182075237,29,1,0,1,0.025
11,collect,loyalty,50,0.048403827,30,1,0,27,0.675
11,chicken,beet,46,1.548739637,31,1,0,13,0.325
11,bias,sirloin,35,1.348577152,32,1,1,20,0.5
11,shrink,mafia,41,1.63204945,33,1,0,25,0.625
